,alignment_name,accepted_name,coevol
86,Eucalyptus_brachycorys_266,NA,NA
87,Eucalyptus_comitae_vallis_465,NA,NA
88,Eucalyptus_corrugata_7,Eucalyptus_corrugata,E_corrugata
89,Eucalyptus_georgei_subsp_georgei_323,Eucalyptus_georgei,E_georgei
90,Eucalyptus_obtusiflora_MC_10760,Eucalyptus_obtusiflora,E_obtusiflora
91,Eucalyptus_assimilans_269,Eucalyptus_assimilans,E_assimilans
92,Eucalyptus_kondininensis_85,Eucalyptus_kondininensis,E_kondininensis
93,Eucalyptus_polita_22,Eucalyptus_polita,E_polita
94,Eucalyptus_myriadena_591,Eucalyptus_myriadena,E_myriadena
95,Eucalyptus_vittata_43,Eucalyptus_vittata,E_vittata
96,Eucalyptus_distuberosa_subsp_aerata_10,Eucalyptus_distuberosa,E_distuberosa
97,Eucalyptus_spreta_40,Eucalyptus_spreta,E_spreta
98,Eucalyptus_frenchiana_11,Eucalyptus_frenchiana,E_frenchiana
99,Eucalyptus_nerthicola_34,NA,NA
100,Eucalyptus_clelandii_581,NA,NA
101,Eucalyptus_torquata_MC_10738,Eucalyptus_torquata,E_torquata
102,Eucalyptus_pileata_17,Eucalyptus_pileata,E_pileata
103,Eucalyptus_argutifolia_AHT_E17,Eucalyptus_argutifolia,E_argutifolia
104,Eucalyptus_valens_478,Eucalyptus_valens,E_valens
105,Eucalyptus_conglobata_subsp_conglobata_5,Eucalyptus_conglobata,E_conglobata
106,Eucalyptus_pterocarpa_8,Eucalyptus_pterocarpa,E_pterocarpa
107,Eucalyptus_gypsophila_543,Eucalyptus_gypsophila,E_gypsophila
108,Eucalyptus_tenuis_584,Eucalyptus_tenuis,E_tenuis
109,Eucalyptus_brachycalyx_508,Eucalyptus_brachycalyx,E_brachycalyx
110,Eucalyptus_yilgarnensis_AHT_E14,Eucalyptus_yilgarnensis,E_yilgarnensis
111,Eucalyptus_fraseri_subsp_fraseri_36,Eucalyptus_fraseri,E_fraseri
112,Eucalyptus_cyanophylla_338,Eucalyptus_cyanophylla,E_cyanophylla
113,Eucalyptus_dumosa_329,Eucalyptus_dumosa,E_dumosa
114,Eucalyptus_phenax_subsp_phenax_375,Eucalyptus_phenax,E_phenax
115,Eucalyptus_canescens_subsp_canescens_181,Eucalyptus_canescens,E_canescens
116,Eucalyptus_cretata_271,Eucalyptus_cretata,E_cretata
117,Eucalyptus_merrickiae_CANB_794336,Eucalyptus_merrickiae,E_merrickiae
118,Eucalyptus_ovularis_355,Eucalyptus_ovularis,E_ovularis
119,Eucalyptus_surgens_190,Eucalyptus_surgens,E_surgens
120,Eucalyptus_platycorys_subsp_platycorys_54,Eucalyptus_platycorys,E_platycorys
121,Eucalyptus_deflexa_364,Eucalyptus_deflexa,E_deflexa
122,Eucalyptus_famelica_AHT_E23,Eucalyptus_famelica,E_famelica
123,Eucalyptus_transcontinentalis_188,Eucalyptus_transcontinentalis,E_transcontinentalis
124,Eucalyptus_calcareana_455,Eucalyptus_calcareana,E_calcareana
125,Eucalyptus_griffithsii_15,Eucalyptus_griffithsii,E_griffithsii
126,Eucalyptus_melanoxylon_586,Eucalyptus_melanoxylon,E_melanoxylon
127,Eucalyptus_dolichorhyncha_192,Eucalyptus_dolichorhyncha,E_dolichorhyncha
128,Eucalyptus_retusa_726,Eucalyptus_retusa,E_retusa
129,Eucalyptus_angulosa_383,Eucalyptus_angulosa,E_angulosa
130,Eucalyptus_singularis_AHT_E15,Eucalyptus_singularis,E_singularis
131,Eucalyptus_incrassata_283,Eucalyptus_incrassata,E_incrassata
132,Eucalyptus_stoatei_191,Eucalyptus_stoatei,E_stoatei
133,Eucalyptus_captiosa_CANB_799340,Eucalyptus_captiosa,E_captiosa
134,Eucalyptus_forrestiana_MC_11265,Eucalyptus_forrestiana,E_forrestiana
135,Eucalyptus_lesouefii_38,Eucalyptus_lesouefii,E_lesouefii
136,Eucalyptus_exigua_55,Eucalyptus_exigua,E_exigua
137,Eucalyptus_dundasii_528,Eucalyptus_dundasii,E_dundasii
138,Eucalyptus_rigens_76,Eucalyptus_rigens,E_rigens
139,Eucalyptus_woodwardii_MC_10742,Eucalyptus_woodwardii,E_woodwardii
140,Eucalyptus_aequioperta_23,Eucalyptus_aequioperta,E_aequioperta
141,Eucalyptus_subangusta_subsp_subangusta_24,Eucalyptus_subangusta,E_subangusta
142,Eucalyptus_litorea_341,Eucalyptus_litorea,E_litorea
143,Eucalyptus_rugosa_61,Eucalyptus_rugosa,E_rugosa
144,Eucalyptus_cylindrocarpa_AHT_E8,Eucalyptus_cylindrocarpa,E_cylindrocarpa
145,Eucalyptus_pimpiniana_462,Eucalyptus_pimpiniana,E_pimpiniana
146,Eucalyptus_tetraptera_AHT_E1,Eucalyptus_tetraptera,E_tetraptera
147,Eucalyptus_websteriana_subsp_websteriana_AHT_E3,Eucalyptus_websteriana,E_websteriana
148,Eucalyptus_scyphocalyx_AHT_E7,Eucalyptus_scyphocalyx,E_scyphocalyx
149,Eucalyptus_leptocalyx_subsp_leptocalyx_73,Eucalyptus_leptocalyx,E_leptocalyx
150,Eucalyptus_celastroides_subsp_celastroides_196,Eucalyptus_celastroides,E_celastroides
151,Eucalyptus_prolixa_CANB_536396,Eucalyptus_prolixa,E_prolixa
152,Eucalyptus_calycogona_subsp_calycogona_362,Eucalyptus_calycogona,E_calycogona
153,Eucalyptus_gracilis_202,Eucalyptus_gracilis,E_gracilis
154,Eucalyptus_halophila_CANB_794338,Eucalyptus_halophila,E_halophila
155,Eucalyptus_quadrans_384,Eucalyptus_quadrans,E_quadrans
156,Eucalyptus_oraria_28,Eucalyptus_oraria,E_oraria
157,Eucalyptus_beardiana_CANB_632554,Eucalyptus_beardiana,E_beardiana
158,Eucalyptus_absita_354,Eucalyptus_absita,E_absita
159,Eucalyptus_cuprea_437,Eucalyptus_cuprea,E_cuprea
160,Eucalyptus_petraea_63,Eucalyptus_petraea,E_petraea
161,Eucalyptus_lucasii_MC_11098,Eucalyptus_lucasii,E_lucasii
162,Eucalyptus_ceratocorys_519,Eucalyptus_ceratocorys,E_ceratocorys
163,Eucalyptus_capillosa_469,Eucalyptus_capillosa,E_capillosa
164,Eucalyptus_whitei_513,Eucalyptus_whitei,E_whitei
165,Eucalyptus_conferruminata_subsp_recherche_114,Eucalyptus_conferruminata,E_conferruminata
166,Eucalyptus_lehmanii_subsp_lehmanii_531,NA,NA
167,Eucalyptus_concinna_457,Eucalyptus_concinna,E_concinna
168,Eucalyptus_percostata_281,Eucalyptus_percostata,E_percostata
169,Eucalyptus_baueriana_160,Eucalyptus_baueriana,E_baueriana
170,Eucalyptus_behriana_646,Eucalyptus_behriana,E_behriana
171,Eucalyptus_porosa_MC_10664,Eucalyptus_porosa,E_porosa
172,Eucalyptus_lansdowneana_652,Eucalyptus_lansdowneana,E_lansdowneana
173,Eucalyptus_petiolaris_ANBG_8317297,Eucalyptus_petiolaris,E_petiolaris
174,Eucalyptus_paniculata_749,Eucalyptus_paniculata,E_paniculata
175,Eucalyptus_siderophloia_ANBG_7906137,Eucalyptus_siderophloia,E_siderophloia
176,Eucalyptus_largeana_CANB_470581,Eucalyptus_largeana,E_largeana
177,Eucalyptus_melliodora_ANBG_662272,Eucalyptus_melliodora,E_melliodora
178,Eucalyptus_leucoxylon_subsp_leucoxylon_716,Eucalyptus_leucoxylon,E_leucoxylon
179,Eucalyptus_tricarpa_8701791,Eucalyptus_tricarpa,E_tricarpa
180,Eucalyptus_bosistoana_671,Eucalyptus_bosistoana,E_bosistoana
181,Eucalyptus_cladocalyx_ANBG_652722,Eucalyptus_cladocalyx,E_cladocalyx
182,Eucalyptus_froggattii_479,Eucalyptus_froggattii,E_froggattii
183,Eucalyptus_paedoglauca_625,Eucalyptus_paedoglauca,E_paedoglauca
184,Eucalyptus_melanophloia_subsp_melanophloia_207,Eucalyptus_melanophloia,E_melanophloia
185,Eucalyptus_obconica_CANB_644802,Eucalyptus_obconica,E_obconica
186,Eucalyptus_koolpinensis_CANB_454611,Eucalyptus_koolpinensis,E_koolpinensis
187,Eucalyptus_oligantha_MC_10571,Eucalyptus_oligantha,E_oligantha
188,Eucalyptus_persistens_subsp_tardecidens_AHT_E2,Eucalyptus_persistens,E_persistens
189,Eucalyptus_leptophleba_CANB_597951,Eucalyptus_leptophleba,E_leptophleba
190,Eucalyptus_ophitica_607,Eucalyptus_ophitica,E_ophitica
191,Eucalyptus_brevifolia_CANB_785488,Eucalyptus_brevifolia,E_brevifolia
192,Eucalyptus_wubinensis_50,Eucalyptus_wubinensis,E_wubinensis
193,Eucalyptus_microtheca_MC_10519,Eucalyptus_microtheca,E_microtheca
194,Eucalyptus_castrensis_ANBG_653995,Eucalyptus_castrensis,E_castrensis
195,Eucalyptus_sideroxylon_750609,Eucalyptus_sideroxylon,E_sideroxylon
196,Eucalyptus_microcarpa_475,Eucalyptus_microcarpa,E_microcarpa
197,Eucalyptus_polybractea_760,Eucalyptus_polybractea,E_polybractea
198,Eucalyptus_normantonensis_340,Eucalyptus_normantonensis,E_normantonensis
199,Eucalyptus_pilligaensis_768,NA,NA
200,Eucalyptus_fusiformis_8604718,Eucalyptus_fusiformis,E_fusiformis
201,Eucalyptus_largiflorens_CANB_785604,Eucalyptus_largiflorens,E_largiflorens
202,Eucalyptus_moluccana_50761,Eucalyptus_moluccana,E_moluccana
203,Eucalyptus_beyeriana_163,Eucalyptus_beyeriana,E_beyeriana
204,Eucalyptus_raveretiana_685,Eucalyptus_raveretiana,E_raveretiana
205,Eucalyptus_tectifica_CANB_785474,Eucalyptus_tectifica,E_tectifica
206,Eucalyptus_coolabah_MC_10582,Eucalyptus_coolabah,E_coolabah
207,Eucalyptus_limitaris_CANB_785552,Eucalyptus_limitaris,E_limitaris
208,Eucalyptus_chlorophylla_CANB_785565,Eucalyptus_chlorophylla,E_chlorophylla
209,Eucalyptus_fasciculosa_289,Eucalyptus_fasciculosa,E_fasciculosa
210,Eucalyptus_polyanthemos_subsp_polyanthemos_659,Eucalyptus_polyanthemos,E_polyanthemos
211,Eucalyptus_argophloia_773,Eucalyptus_argophloia,E_argophloia
212,Eucalyptus_exilipes_CANB_582959,Eucalyptus_exilipes,E_exilipes
