accepted_name,species_genome_size,Voucher specimen,Generalised location collected,Row,Tree (R.Gallagher sample tree in red),Year planted,1st budded,1st flowered,R.Gallagher samples,index,genome_size,CV sample,CV Solanum,fcm date,
Eucalyptus insularis,Eucalyptus insularis subsp. insularis,DN 4586,"Nth Twin Peak Island, WA",210,"22,23,24,25",2006,,,Batch 2 collected 10.11.15,0.36,0.93,4.21,2.46,20/11/2015,
Corymbia polysciada,Corymbia polysciada,DN 4218,"Mary River, NT",305,7,2010,,,Batch 7 collected 30.1.16,0.368459838,0.95,4.72,2.82,5/02/2016,
Corymbia ferriticola,Corymbia ferriticola,DN 2752,"Meekatharra, WA",182,"22,23,24,25",2000,,,Batch 1 collected 1.11.15,0.373,0.97,2.76,2.28,12/11/2015,
Eucalyptus suberea,Eucalyptus suberea,DN 3520,"Badgingarra, WA",236,"13,14,15,16",2001,2007,2009,Batch 1 collected 1.11.15,0.374,0.97,4.13,2.76,9/11/2015,
Eucalyptus insularis,Eucalyptus insularis subsp. continentalis,DN 1637,"Cape Le Grand, WA",134,"28,29,30",1997,2003,2004,Batch 3 collected 22.11.15,0.375,0.97,4.3,4.21,1/12/2015,
Eucalyptus aquilina ,Eucalyptus aquilina ,DN 4604,"Sandy Hook Island, WA",209,"12,13,14,15",2006,2013,,Batch 2 collected 10.11.15,0.376,0.97,2.62,2.25,18/11/2015,
Corymbia aparrerinja,Corymbia aparrerinja,,Cultivated tree of unknown origin,132,"05,6,7,8",1997,,,Batch 7 collected 30.1.16,0.379650721,0.98,3.7,2.89,5/02/2016,
Eucalyptus microcorys,Eucalyptus microcorys,DN 1238,"Johns River, NSW",198,"09,10,11,12,13",2000,2011,2013,Batch 2 collected 10.11.15,0.385,1,3.68,1.95,20/11/2015,
Eucalyptus coronata,Eucalyptus coronata,DN 2247,"East Mt Barren, WA",188,"36,37,38",2000,2004,2011,Batch 7 collected 30.1.16,0.386847195,1,4.86,2.98,9/02/2016,
Corymbia tessellaris,Corymbia tessellaris,,Cultivated tree of unknown origin,61,39,1995,,,Batch 5 collected 6.12.15,0.389,1.01,3.43,2.72,16/12/2015,
Eucalyptus todtiana,Eucalyptus todtiana,DN 5075,"Cockleshell Gully, WA",304,"28,29,30,31",2010,,,Batch 7 collected 30.1.16,0.392003136,1.02,4.17,2.7,9/02/2016,
Eucalyptus patens,Eucalyptus patens,DN 4621,"Sawyers Valley, WA",261,"01,2,3",2004,,,Batch 2 collected 10.11.15,0.393,1.02,2.55,2.26,18/11/2015,
Eucalyptus megacarpa,Eucalyptus megacarpa,DN 1137,"Two Peoples Bay, WA",70,"37,38,39,40",1995,1997,1998,Batch 6 collected 10.1.16,0.39745628,1.03,3.43,2.54,20/01/2016,
Eucalyptus pendens,Eucalyptus pendens,DN 256,"Badgingarra, WA",188,"28,29,30,31",2000,,,Batch 2 collected 10.11.15,0.4,1.03,3.17,2.12,20/11/2015,
Eucalyptus preissiana subsp. lobata,Eucalyptus preissiana subsp. lobata,DN 5492,"Quallilup Lake, WA",313,"01,2,3,4",2011,2013,2013,Batch 6 collected 10.1.16,0.400611018,1.04,7.13,2.66,21/01/2016,
Eucalyptus staeri,Eucalyptus staeri,DN 1133,"Wellstead, WA",70,"33,34,35,36",1995,2000,2000,Batch 7 collected 30.1.16,0.400641026,1.04,4.54,2.71,8/02/2016,
Eucalyptus brevistylis,Eucalyptus brevistylis,DN 1141,"Mt Frankland, WA",76,"24,25,26,27",1995,2013,,Batch 6 collected 10.1.16,0.401445203,1.04,3.31,2.61,21/01/2016,
Eucalyptus cloeziana,Eucalyptus cloeziana,DN 696,"Isla Gorge, QLD",56,"22,23,24",1994,2005,2006,Batch 5 collected 6.12.15,0.403,1.04,3.7,2.89,20/12/2015,
Eucalyptus platydisca,Eucalyptus platydisca,DN 133,"Mt Norcott, WA",176,"05,6,7,8",1999,2006,2006,Batch 4 collected 29.11.15,0.405,1.05,3.48,2.74,9/12/2015,
Eucalyptus calcicola subsp. calcicola,Eucalyptus calcicola subsp. calcicola,DN 1674,"Boranup, WA",145,"25,26,27,28",1997,2001,2002,Batch 7 collected 30.1.16,0.406173842,1.05,3.95,2.82,9/02/2016,
Eucalyptus preissiana subsp. preissiana,Eucalyptus preissiana subsp. preissiana,DN 3762,"Mobrup, WA",240,"01,2,3",2001,2011,2013,Batch 7 collected 30.1.16,0.406504065,1.05,3.53,3.09,9/02/2016,
Eucalyptus rubiginosa,Eucalyptus rubiginosa,DN 2114,"Isla Gorge, QLD",84,"09,10,11,12",1998,,,Batch 3 collected 22.11.15,0.407,1.05,3.8,2.89,1/12/2015,
Eucalyptus latisinensis,Eucalyptus latisinensis,DN 715,"Goodwood, Qld",58,"31,32,33,34",1994,,,Batch 7 collected 30.1.16,0.412031314,1.07,3.2,2.72,10/02/2016,
Eucalyptus sepulcralis,Eucalyptus sepulcralis,DN 1635,"Fitzgerald River National Park, WA",134,"12,13,14,15",1997,2002,2003,Batch 3 collected 22.11.15,0.413,1.07,2.78,1.99,27/11/2015,
NA,Eucalyptus portulensis,DN 6447,"Shute Harbour, QLD",275,"13,14,15,16",2013,,,Batch 2 collected 10.11.15,0.413,1.07,5.23,2.11,20/11/2015,
Eucalyptus carnea,Eucalyptus carnea,DN 1236,"Gloucester, NSW",208,"01,2,3,4",2002,2011,2013,Batch 2 collected 10.11.15,0.414,1.07,2.74,2.25,20/11/2015,
Eucalyptus psammitica,Eucalyptus psammitica,DN 664,"Fortis Creek, NSW",52,"17,18,19,20",1994,2000,2001,Batch 5 collected 6.12.15,0.414,1.07,4.67,3.1,16/12/2015,
Eucalyptus umbra,Eucalyptus umbra,DN 2912,"West Head, NSW",196,"17,18,19,20",2000,2011,2013,Batch 2 collected 10.11.15,0.415,1.07,2.89,2.36,23/11/2015,
NA,Eucalyptus bupestrium,DN 6703,"South Stirlings, WA",293,"09,10,11,12",2015,,,Batch 6 collected 10.1.16,0.415454923,1.08,4.17,2.31,19/01/2016,
Eucalyptus calcicola subsp. unita,Eucalyptus calcicola subsp. unita,DN 1878,"Hauloff Rocks, WA",137,"26,27,28,29",1997,2000,2001,Batch 4 collected 29.11.15,0.415,1.08,4.62,2.48,11/12/2015,
Eucalyptus moorei,Eucalyptus moorei subsp. 'latiuscula',DN 594,"Wadbilliga Trig, NSW",307,"11,12,13",2010,,,Batch 4 collected 29.11.15,0.416,1.08,3.72,2.27,9/12/2015,
Eucalyptus ligulata subsp. ligulata,Eucalyptus ligulata subsp. ligulata,DN 175,"Cape Le Grand, WA",208,"20,21,22,23",2002,2008,2009,Batch 2 collected 10.11.15,0.416,1.08,3.05,2.55,20/11/2015,
Eucalyptus diversifolia subsp. diversifolia,Eucalyptus diversifolia subsp. diversifolia,DN 1991,"Cape Nelson, VIC",152,"17,18,19,20",1998,2000,2001,Batch 3 collected 22.11.15,0.417,1.08,4.76,4,1/12/2015,
Eucalyptus elata,Eucalyptus elata,DN 2901,"Belowra, NSW",193,"05,6,7,8",2000,2008,2009,Batch 2 collected 10.11.15,0.419,1.08,2.46,2.15,23/11/2015,
Eucalyptus mediocris,Eucalyptus mediocris,DN 2115,"Mt Moffat, QLD",161,"09,10,11",1998,,,Batch 3 collected 22.11.15,0.419,1.09,5.99,3.53,1/12/2015,
Eucalyptus stellulata,Eucalyptus stellulata,DN 582,"Omeo, VIC",16,"44,45,46,47",1994,2002,2004,Batch 5 collected 6.12.15,0.42,1.09,4.45,3.17,14/12/2015,
NA,Eucalyptus uvida,DN 1299,"Paluma, QLD",307,"16,17",2010,,,Batch 4 collected 29.11.15,0.42,1.09,4.49,3.57,11/12/2015,
Eucalyptus mitchelliana,Eucalyptus mitchelliana,DN 574,"Mt Buffalo, VIC",159,"26,27,28,29",1998,,,Batch 3 collected 22.11.15,0.421,1.09,2.13,2.02,27/11/2015,
Eucalyptus pachyloma,Eucalyptus pachyloma,DN 3735,"Dardadine, WA",238,"17,18,19,20",2001,2006,2007,Batch 7 collected 30.1.16,0.421229992,1.09,4.25,2.9,9/02/2016,
Eucalyptus apothalassica,Eucalyptus apothalassica,DN 1263,"Eidsvold West, QLD",89,38,1996,,,Batch 3 collected 22.11.15,0.422,1.09,3.45,2.05,30/11/2015,
NA,Eucalyptus irritans,DN 2525,"Mt Garnet, QLD",166,"27,28,29",1999,,,Batch 7 collected 30.1.16,0.421940928,1.09,3.86,2.24,8/02/2016,
Eucalyptus fastigata,Eucalyptus fastigata,DN 596,"Badja, NSW",245,20,2002,,,Batch 6 collected 10.1.16,0.422119038,1.09,3.75,2.47,19/01/2016,
Eucalyptus tenuiramis,Eucalyptus tenuiramis,DN 1976,"Ouse, TAS",156,"25,26,27,28",1998,2005,2006,Batch 3 collected 22.11.15,0.422,1.09,3.05,3.35,26/11/2015,
NA,Eucalyptus uvida,DN 1299,"Paluma, QLD",160,"05,6,7,8",1998,2008,,Batch 3 collected 22.11.15,0.422,1.09,4.33,3.65,1/12/2015,
Eucalyptus pulchella,Eucalyptus pulchella,DN 1984,"Kellevie, TAS",152,"25,26,27,28",1998,,,Batch 3 collected 22.11.15,0.423,1.09,2.39,2.28,26/11/2015,
Eucalyptus ligulata subsp. stirlingica,Eucalyptus ligulata subsp. stirlingica,DN 3560,"Mt Trio, WA",238,"01,2,3,4",2001,,,Batch 1 collected 1.11.15,0.424,1.1,3.13,2.34,12/11/2015,
Eucalyptus moorei subsp. serpentinicola,Eucalyptus moorei subsp. serpentinicola,DN 1233,"Curricabark, NSW",91,"20,21,22",1996,2000,2001,Batch 3 collected 22.11.15,0.424,1.1,3.62,2.53,30/11/2015,
NA,Eucalyptus robertsonii,DN 1771,"Brindabella Range, ACT",145,"33,34,35,36",1997,,,Batch 4 collected 29.11.15,0.425,1.1,3.15,2.41,10/12/2015,
Eucalyptus helidonica,Eucalyptus helidonica,DN 6491,"Helidon Hills, QLD",277,"05,6,7,8",2013,,,Batch 7 collected 30.1.16,0.424989375,1.1,6.26,3.23,9/02/2016,very weak signal
Eucalyptus diversifolia subsp. hesperia,Eucalyptus diversifolia subsp. hesperia,DN 1811,"Border Village, SA",135,"29,30,31,32",1997,2000,2001,Batch 4 collected 29.11.15,0.425,1.1,6.46,2.25,9/12/2015,
Eucalyptus verrucata,Eucalyptus verrucata,DN 3787,"Mt Abrupt, VIC",207,"16,17,18,19",2002,2005,2013,Batch 2 collected 10.11.15,0.425,1.1,2.36,1.88,20/11/2015,
Eucalyptus radiata subsp. sejuncta,Eucalyptus radiata subsp. sejuncta,DN 655,"Guyra, NSW",195,"13,14,15,16",2000,,,Batch 2 collected 10.11.15,0.425,1.1,3.02,2.28,23/11/2015,
Eucalyptus falciformis,Eucalyptus falciformis,DN 361,"Victoria Valley, VIC",168,"18,19,20,21",1999,2004,2006,Batch 4 collected 29.11.15,0.426,1.1,3.95,3.41,11/12/2015,
Eucalyptus victoriana,Eucalyptus victoriana,DN 3786,"Mt Thackeray, VIC",207,"01,2,3,4",2002,2005,2007,Batch 2 collected 10.11.15,0.426,1.1,3.74,2.78,18/11/2015,
Eucalyptus acmenoides,Eucalyptus acmenoides,DN 2087,"Taree, NSW",156,"05,6,7,8",1998,2007,2008,Batch 3 collected 22.11.15,0.427,1.1,3.37,2.8,30/11/2015,
Eucalyptus macrorhyncha subsp. cannonii,Eucalyptus macrorhyncha subsp. cannonii,DN 779,"Capertee, NSW",57,"05,6,7,8",1994,2000,2001,Batch 5 collected 6.12.15,0.427,1.11,3.44,2.75,16/12/2015,
Eucalyptus regnans,Eucalyptus regnans,DN 4316,"Otway Range, VIC",307,"19,20",2010,,,Batch 4 collected 29.11.15,0.428,1.11,2.76,2.34,9/12/2015,
Eucalyptus croajingolensis,Eucalyptus croajingolensis,DN 1744,"Cann River, VIC",142,"13,14,15,16",1997,2011,2013,Batch 3 collected 22.11.15,0.429,1.11,2.52,2.15,27/11/2015,
Eucalyptus helidonica,Eucalyptus helidonica,DN 6491,"Helidon Hills, QLD",277,"05,6,7,8",2013,,,Batch 2 collected 10.11.15,0.429,1.11,4.64,2.86,3/12/2015,repeat
Eucalyptus caesia,Eucalyptus caesia subsp. magna,DN 304,"Chiddarcooping Hill, WA",45,"25,26,27,28",1994,1997,1998,Batch 5 collected 6.12.15,0.429,1.11,3.35,2.98,20/12/2015,
Eucalyptus sphaerocarpa,Eucalyptus sphaerocarpa,DN 704,"Blackdown Tableland, QLD",151,"25,26,27,28",1998,,,Batch 3 collected 22.11.15,0.429,1.11,4.86,2.52,26/11/2015,
Eucalyptus macrorhyncha subsp. macrorhyncha,Eucalyptus macrorhyncha subsp. macrorhyncha,DN 737,"Grenfell, NSW",47,"16,17,18",1994,2011,,Batch 5 collected 6.12.15,0.43,1.11,3.15,3.03,17/12/2015,
Eucalyptus cameronii,Eucalyptus cameronii,DN 662,"Gibraltar Range, NSW",potted,,,,,Batch 7 collected 30.1.16,0.42973786,1.11,3.3,2.6,8/02/2016,
Eucalyptus ornans,Eucalyptus ornans,DN 6783,"Avon River, VIC",332,"05,6,7,8",2015,,,Batch 7 collected 30.1.16,0.430663221,1.12,3.7,2.77,5/02/2016,
Eucalyptus caesia,Eucalyptus caesia subsp. 'Southern' ,DN 3813,"Pingaring, WA",206,"01,2,3,4",2002,2006,2006,Batch 2 collected 10.11.15,0.431,1.12,2.32,1.77,19/11/2015,
NA,Eucalyptus prominula,DN 2917,"Putty, NSW",195,"17,18,19,20",2000,2011,2013,Batch 2 collected 10.11.15,0.431,1.12,2.54,2.02,20/11/2015,
Eucalyptus moorei subsp. moorei,Eucalyptus moorei subsp. moorei,DN 5249,"Goulburn, NSW",305,"01,2,3,4",2010,,,Batch 4 collected 29.11.15,0.431,1.12,4.86,2.39,9/12/2015,
Eucalyptus dives,Eucalyptus dives,DN 6099,"Blackwood Range, VIC",281,"09,10,11,12",2013,,,Batch 6 collected 10.1.16,0.431592577,1.12,3.24,2.54,19/01/2016,
Eucalyptus risdonii,Eucalyptus risdonii,DN 1982,"Risdon Hills, TAS",154,"17,18,19,20",1998,2005,2005,Batch 3 collected 22.11.15,0.432,1.12,3.3,2.99,1/12/2015,
Eucalyptus radiata subsp. radiata,Eucalyptus radiata subsp. radiata,DN 602,"Mongarlowe, NSW",193,"13,14,15,16",2000,2013,2013,Batch 2 collected 10.11.15,0.432,1.12,2.9,2.32,23/11/2015,
Eucalyptus remota,Eucalyptus remota,DN 812,"Kangaroo Island, SA",69,"35,36,37,38",1995,2002,2002,Batch 6 collected 10.1.16,0.432152118,1.12,3.28,2.3,20/01/2016,
Eucalyptus andrewsii ,Eucalyptus andrewsii ,DN 670,"Girraween Nat. Park, QLD",52,"25,26,27,28",1994,2007,2011,Batch 5 collected 6.12.15,0.433,1.12,3.43,2.32,17/12/2015,
Eucalyptus pauciflora subsp. pauciflora ,Eucalyptus pauciflora subsp. pauciflora ,DN 476,"Caroline forest, SA",58,"24,25,26,27",1994,1999,1999,Batch 5 collected 6.12.15,0.433,1.12,4.76,3.02,14/12/2015,
Eucalyptus doratoxylon,Eucalyptus doratoxylon,DN 178,"Cape Le Grand, WA",208,"09,10,11,12",2002,2007,2007,Batch 2 collected 10.11.15,0.433,1.12,2.51,2.35,20/11/2015,
Eucalyptus stenostoma,Eucalyptus stenostoma,DN 2900,"Belowra, NSW",193,"28,29,30,31",2000,2011,2013,Batch 2 collected 10.11.15,0.433,1.12,3.14,2.33,18/11/2015,
Eucalyptus ligustrina,Eucalyptus ligustrina,DN 624,"Kings Tableland, NSW",194,"15,16,17,18",2000,2006,2009,Batch 2 collected 10.11.15,0.433,1.12,2.93,2.23,23/11/2015,
Eucalyptus globoidea,Eucalyptus globoidea,DN 1732,"Stratford, VIC",193,"01,2,3,4",2000,2008,2011,Batch 2 collected 10.11.15,0.434,1.12,2.62,2.19,23/11/2015,
Eucalyptus extrica,Eucalyptus extrica,DN 1092,"Cape Arid Nat. Park, WA",65,"31,32,33,34",1995,1997,1998,Batch 5 collected 6.12.15,0.434,1.13,4.42,3.24,11/12/2015,
Eucalyptus rudis subsp. cratyantha,Eucalyptus rudis subsp. cratyantha,DN 5538,"Eagle Bay, WA",310,"13,14,15,16",2011,,,Batch 6 collected 10.1.16,0.434971727,1.13,3.54,2.4,21/01/2016,
Eucalyptus alba var. australasica,Eucalyptus alba var. australasica,DN 4211,"Ramingining, NT",247,14,2002,,,Batch 7 collected 30.1.16,0.43516101,1.13,3.59,2.14,9/02/2016,
Eucalyptus caesia,Eucalyptus caesia subsp. caesia ,DN 3683,"Kokerbin Hill, WA",228,"05,6,7,8",2001,2005,2005,Batch 1 collected 1.11.15,0.435,1.13,3.39,2.89,10/11/2015,
Eucalyptus houseana,Eucalyptus houseana,DN 1911,"King Leopold Range, WA",139,"20,21,22",1997,,,Batch 4 collected 29.11.15,0.435,1.13,4.88,2.66,11/12/2015,
Eucalyptus capitellata,Eucalyptus capitellata,DN 5262,"Cessnock, NSW",305,"15,16,17,18",2010,,,Batch 4 collected 29.11.15,0.435,1.13,3.98,2.71,10/12/2015,
Eucalyptus rossii,Eucalyptus rossii,DN 725,"Pilliga scrub, NSW",60,"09,10,11,12",1994,2001,2001,Batch 5 collected 6.12.15,0.436,1.13,4.45,2.87,16/12/2015,
Eucalyptus deuaensis,Eucalyptus deuaensis,DN 1769,"Deua Nat. Park, NSW",141,"25,26,27,28",1997,2004,2008,Batch 4 collected 29.11.15,0.436,1.13,2.83,2.26,9/12/2015,
Eucalyptus glomericassis,Eucalyptus glomericassis,DN 5219,"Twin Falls, NT",304,"20,21,22,23",2010,,,Batch 4 collected 29.11.15,0.436,1.13,2.89,2.26,8/12/2015,
NA,Eucalyptus obstans,DN 620,"Royal Nat. Park, NSW",167,"26,27",1999,2003,2004,Batch 4 collected 29.11.15,0.436,1.13,3.62,2.08,8/12/2015,
Eucalyptus mackintii,Eucalyptus mackintii,DN 1737,"Bruthen, VIC",141,"13,14,15,16",1997,2004,2006,Batch 4 collected 29.11.15,0.436,1.13,3.87,2.55,9/12/2015,
Eucalyptus pumila,Eucalyptus pumila,DN 636,"Pokolbin, NSW",53,"29,30,31,32",1994,1997,1999,Batch 5 collected 6.12.15,0.436,1.13,3.65,2.81,20/12/2015,
Eucalyptus cunninghamii,Eucalyptus cunninghamii,DN 5868,"Pulpit Rock, NSW",292,"13,14,15,16",2015,,,Batch 6 collected 10.1.16,0.436681223,1.13,4.71,3.25,19/01/2016,
Eucalyptus gregoriensis,Eucalyptus gregoriensis,DN 2447,"Gordon Creek, NT",171,"08,9,10",1999,,,Batch 4 collected 29.11.15,0.437,1.13,3.65,2.37,8/12/2015,
Eucalyptus gregsoniana,Eucalyptus gregsoniana,DN 1756,"Wog Wog, NSW",142,"17,18,19,20",1997,2004,2005,Batch 3 collected 22.11.15,0.437,1.13,2.49,2.13,27/11/2015,
Eucalyptus campanulata,Eucalyptus campanulata,DN 1248,"Drake, NSW",196,"13,14,15,16",2000,2011,2013,Batch 2 collected 10.11.15,0.438,1.13,2.43,2.52,20/11/2015,
Eucalyptus tenella,Eucalyptus tenella,DN 763,"Rylstone, NSW",47,"31,32,33,34",1994,1999,2001,Batch 5 collected 6.12.15,0.438,1.13,4.09,2.66,17/12/2015,
Eucalyptus albida,Eucalyptus albida,DN 3437,"Pingaring, WA",227,"05,6,7,8",2001,2006,2008,Batch 1 collected 1.11.15,0.439,1.14,3.41,2.86,9/11/2015,
Eucalyptus diversicolor,Eucalyptus diversicolor,DN 4629,"Warren National Park, WA",260,"05,6,7,8",2004,2011,2011,Batch 2 collected 10.11.15,0.439,1.14,3.07,2.32,20/11/2015,
Eucalyptus amygdalina,Eucalyptus amygdalina,DN 6722,"Cape Tourville, TAS",330,"05,6,7,8",2015,,,Batch 6 collected 10.1.16,0.438788943,1.14,4.92,3.44,20/01/2016,
Eucalyptus caliginosa,Eucalyptus caliginosa,DN 2943,"Guyra, NSW",194,"09,10,11,12",2000,,,Batch 2 collected 10.11.15,0.439,1.14,2.72,1.97,19/11/2015,
Eucalyptus camfieldii,Eucalyptus camfieldii,DN 6794,"Ku-Ring-Gai Chase, NSW",293,"05,6,7,8",2015,,,Batch 7 collected 30.1.16,0.438981563,1.14,3.39,3.17,5/02/2016,
Eucalyptus arenicola,Eucalyptus arenicola,DN 6786,"Holey Plains, VIC",163,"01,2,3,4",2015,,,Batch 6 collected 10.1.16,0.439367311,1.14,3.9,2.81,21/01/2016,
Eucalyptus erosa,Eucalyptus erosa,DN 2118,"Mt Moffat, QLD",150,"20,21,22,23",1998,2007,,Batch 3 collected 22.11.15,0.44,1.14,3.18,2.95,1/12/2015,
Eucalyptus obliqua,Eucalyptus obliqua,DN 804,"Kangaroo Island, SA",72,38,1995,2005,2011,Batch 6 collected 10.1.16,0.43956044,1.14,3.81,2.66,20/01/2016,
Eucalyptus laevopinea,Eucalyptus laevopinea,DN 649,"Wollomombi, NSW",57,"29,30,31,32",1994,2004,2008,Batch 5 collected 6.12.15,0.44,1.14,3.49,2.98,17/12/2015,
Eucalyptus consideniana,Eucalyptus consideniana,DN 611,"Sassafras, NSW",51,"21,22,23,24",1994,1997,1998,Batch 5 collected 6.12.15,0.44,1.14,3.19,2.62,17/12/2015,
Eucalyptus crucis subsp. praecipua,Eucalyptus crucis subsp. praecipua,DN 1561,"Wardagga Hill, WA",207,"05,6,7,8",2002,2008,2009,Batch 2 collected 10.11.15,0.44,1.14,2.56,2.29,18/11/2015,
Eucalyptus piperita,Eucalyptus piperita subsp. piperita,DN 627,"Blackheath, NSW",307,"14,15",2010,,,Batch 4 collected 29.11.15,0.44,1.14,2.48,2.4,10/12/2015,
Eucalyptus virginea,Eucalyptus virginea,DN 4635,"Mt Lindesay, WA",209,"08,9,10,11",2006,2011,,Batch 2 collected 10.11.15,0.44,1.14,2.92,2.02,20/11/2015,
NA,Eucalyptus subtilior,DN 676,"Stanthorpe, QLD",166,"09,10,11,12",1999,,,Batch 4 collected 29.11.15,0.44,1.14,3.04,2.35,9/12/2015,
Eucalyptus approximans,Eucalyptus approximans,DN 2090,"Barren Mountain, NSW",307,"01,2",2010,,,Batch 4 collected 29.11.15,0.441,1.14,3.1,2.32,10/12/2015,
Eucalyptus pachycalyx subsp. pachycalyx,Eucalyptus pachycalyx subsp. pachycalyx,DN 1307,"Watsonville, QLD",141,"01,2,3,4",1997,2006,2007,Batch 3 collected 22.11.15,0.441,1.14,3.35,2.23,27/11/2015,
Eucalyptus apodophylla,Eucalyptus apodophylla,DN 2456,"Pine Creek, NT",308,"09,10,11,12",2010,,,Batch 4 collected 29.11.15,0.441,1.14,3.81,2.47,9/12/2015,
Eucalyptus conferruminata subsp. conferruminata,Eucalyptus conferruminata subsp. conferruminata,DN 3570,"Quoin Head, WA",230,"13,14,15,16",2001,2003,2005,Batch 1 collected 1.11.15,0.441,1.14,2.66,1.72,12/11/2015,
Eucalyptus eugenioides,Eucalyptus eugenioides,DN 1235,"Curricabark, NSW",92,"11,12,13,14",1996,2001,2002,Batch 3 collected 22.11.15,0.441,1.14,3.44,2.64,30/11/2015,
Eucalyptus neglecta,Eucalyptus neglecta,DN 3797,"Buckland Valley, VIC",241,"15,16,17,18",2002,,,Batch 6 collected 10.1.16,0.441306267,1.14,4.17,2.92,19/01/2016,
Eucalyptus recurva,Eucalyptus recurva,DN 1755,"Mongarlowe, NSW",246,11,2002,,,Batch 6 collected 10.1.16,0.441306267,1.14,3.51,2.74,19/01/2016,
Eucalyptus triflora,Eucalyptus triflora,DN 6303,"Endrick River, NSW",247,"15,16,17",2013,,,Batch 6 collected 10.1.16,0.441501104,1.14,3.79,2.61,19/01/2016,
Eucalyptus arenacea,Eucalyptus arenacea,DN 1588,"Pinnaroo, SA",137,"11,12,13,14",1997,2002,2003,Batch 3 collected 22.11.15,0.442,1.14,2.94,2.01,27/11/2015,
Eucalyptus boliviana,Eucalyptus boliviana,DN 6197,"Bolivia Hill, NSW",283,"13,14,15,16",2013,,,Batch 6 collected 10.1.16,0.441696113,1.14,3.81,3.11,21/01/2016,
Eucalyptus planchoniana,Eucalyptus planchoniana,DN 663,"Gibraltar Range Nat. Park, NSW",55,"09,10,11",1994,2001,2002,Batch 5 collected 6.12.15,0.442,1.14,3.3,2.59,16/12/2015,
Eucalyptus howittiana,Eucalyptus howittiana,DN 2526,"Valley of Lagoons, QLD",169,"12,13,14,15",1999,2005,2006,Batch 4 collected 29.11.15,0.442,1.14,3.71,2.69,10/12/2015,
NA,Eucalyptus microcodon,DN 5010,"Binna Burra, QLD",306,"13,14,15,16",2010,,,Batch 4 collected 29.11.15,0.442,1.14,3.49,2.66,10/12/2015,
NA,Eucalyptus spectatrix,DN 1751,"Dr George Mountain, NSW",141,"17,18,19,20",1997,2004,2004,Batch 4 collected 29.11.15,0.442,1.15,3.53,3.02,10/12/2015,
Eucalyptus boliviana,Eucalyptus boliviana,DN 6197,"Bolivia Hill, NSW",283,"13,14,15,16",2013,,,Batch 6 collected 10.1.16,0.442282176,1.15,4.17,2.95,21/01/2016,
Eucalyptus boliviana,Eucalyptus boliviana,DN 6197,"Bolivia Hill, NSW",283,"13,14,15,16",2013,,,Batch 6 collected 10.1.16,0.442477876,1.15,3.34,3.02,19/01/2016,
NA,Eucalyptus reducta,DN 1300,"Paluma, QLD",95,"25,26,27",1996,2002,2003,Batch 3 collected 22.11.15,0.443,1.15,4.24,2.53,3/12/2015,
Eucalyptus caesia,Eucalyptus caesia subsp. 'Boyagin',DN 5542,"Boyagin Rock, WA",312,"01,2,3,4",2011,,,Batch 4 collected 29.11.15,0.443,1.15,3.76,2.05,8/12/2015,
Eucalyptus imitans,Eucalyptus imitans,DN 615,"Nowra, NSW",59,"19,20,21,22",1994,1998,2001,Batch 5 collected 6.12.15,0.443,1.15,4.79,3,16/12/2015,
Eucalyptus olida,Eucalyptus olida,DN 661,"Gibraltar National Park, NSW",195,"09,10,11,12",2000,2013,,Batch 2 collected 10.11.15,0.443,1.15,2.88,2.53,23/11/2015,
Eucalyptus oreades,Eucalyptus oreades,DN 628,"Katoomba, NSW",198,"05,6,7,8",2000,2013,,Batch 2 collected 10.11.15,0.443,1.15,2.25,2.2,18/11/2015,
Eucalyptus tindaliae,Eucalyptus tindaliae,DN 2109,"Mt Tibrogargan, QLD",159,"30,31,32,33",1998,2003,2005,Batch 3 collected 22.11.15,0.443,1.15,3.34,2.96,1/12/2015,
Eucalyptus agglomerata,Eucalyptus agglomerata,DN 2928,"Peregrine Point, NSW",192,"09,10,11,12",2000,2011,2011,Batch 2 collected 10.11.15,0.443,1.15,2.56,2.07,19/11/2015,
Eucalyptus gittinsii subsp. illucida,Eucalyptus gittinsii subsp. illucida,DN 252,"Mt Misery, WA",18,"12,13,14,15",1993,19951996,19951996,Batch 6 collected 10.1.16,0.443262411,1.15,4.05,3.01,21/01/2016,
Eucalyptus youmanii,Eucalyptus youmanii,DN 654,"Armidale, NSW",166,"21,22,23,24",1999,2008,2011,Batch 4 collected 29.11.15,0.444,1.15,2.69,1.98,8/12/2015,
Eucalyptus expressa,Eucalyptus expressa,DN 5265,"Parsons Creek, NSW",306,"21,22,23,24",2010,,,Batch 4 collected 29.11.15,0.444,1.15,5.62,3.17,11/12/2015,
Eucalyptus nebulosa,Eucalyptus nebulosa,DN 6742,"Lake Pieman, TAS",potted,,,,,Batch 7 collected 30.1.16,0.443852641,1.15,3.19,1.91,8/02/2016,very weak signal
NA,Eucalyptus ralla,DN 614,"Nowra, NSW",59,"04,5,6,7",1994,1999,,Batch 5 collected 6.12.15,0.444,1.15,3.22,2.86,17/12/2015,
Eucalyptus lirata,Eucalyptus lirata,DN 1917,"Mt Elizabeth Station, WA",305,"21,22",2010,,,Batch 4 collected 29.11.15,0.444,1.15,4.33,2.28,10/12/2015,
