accepted_name,species_genome_size,Voucher specimen,Generalised location collected,Row,Tree (R.Gallagher sample tree in red),Year planted,1st budded,1st flowered,R.Gallagher samples,index,genome_size,CV sample,CV Solanum,fcm date,
Eucalyptus glomerosa,Eucalyptus glomerosa,DN 1508,"Vokes Hill, SA",183,"13,14,15,16",2000,2011,2011,Batch 7 collected 30.1.16,0.520020801,1.35,2.62,2.55,9/02/2016,
Eucalyptus ornata,Eucalyptus ornata,DN 5040,"West Holleton, WA",300,"01,2,3,4",2010,2013,2014,Batch 4 collected 29.11.15,0.52,1.35,3.3,2.14,9/12/2015,
Eucalyptus cernua,Eucalyptus cernua,DN 3574,"Mt Short, WA",236,"29,30,31,32",2001,2005,2006,Batch 1 collected 1.11.15,0.52,1.35,4.85,2.92,11/11/2015,
Eucalyptus platypus subsp. congregata,Eucalyptus platypus subsp. congregata,DN 3591,"Cascades, WA",235,"29,30,31,32",2001,2004,2005,Batch 1 collected 1.11.15,0.52,1.35,4.1,2.66,9/11/2015,
Eucalyptus lesouefii,Eucalyptus lesouefii,DN 3633,"Fraser Range, WA",225,"17,18,19,20",2001,2003,2006,Batch 1 collected 1.11.15,0.521,1.35,3.3,2.67,10/11/2015,
Eucalyptus prominens,Eucalyptus prominens,DN 1184,"Cape Range, WA",211,"21,22,23,24",2006,2011,2013,Batch 2 collected 10.11.15,0.521,1.35,3.39,2.21,19/11/2015,
Eucalyptus hypolaena,Eucalyptus hypolaena,DN 2303,"Coonana, WA",176,"28,29,30",1999,2006,2007,Batch 7 collected 30.1.16,0.521376434,1.35,3.02,2.4,10/02/2016,
Eucalyptus calcareana,Eucalyptus calcareana,DN 103,"Nundroo, SA",24,"25,26,27,28",1993,1995,1997,Batch 6 collected 10.1.16,0.52246604,1.35,4.01,2.94,21/01/2016,
Eucalyptus georgei subsp. georgei,Eucalyptus georgei subsp. georgei,DN 325,"Lake Johnston, WA",16,"13,14,15,16",1993,1994,1996,Batch 6 collected 10.1.16,0.523012552,1.35,4.56,3.59,19/01/2016,
Eucalyptus falcata,Eucalyptus falcata,DN 3433,"Kulin, WA",229,"01,2,3,4",2001,2006,2008,Batch 1 collected 1.11.15,0.523,1.36,2.45,2.21,11/11/2015,
Eucalyptus planipes,Eucalyptus planipes,DN 131,"Heartbreak Ridge, WA",22,"21,22,23,24",1993,1995,1997,Batch 6 collected 10.1.16,0.523286238,1.36,7.52,3.02,18/01/2016,
Eucalyptus frenchiana,Eucalyptus frenchiana,DN 3660,"Disappointment Rock, WA",221,"21,22,23,24",2001,2006,2009,Batch 1 collected 1.11.15,0.524,1.36,3.99,2.77,10/11/2015,
Eucalyptus loxophleba subsp. supralaevis,Eucalyptus loxophleba subsp. supralaevis,DN 2211,"Ogilvie, WA",175,"19,20,21,22",1999,2007,2011,Batch 4 collected 29.11.15,0.524,1.36,3.37,2.73,8/12/2015,
Eucalyptus wandoo subsp. pulverea,Eucalyptus wandoo subsp. pulverea,DN 285,"Watheroo, WA",12,"05,6,7,8",1993,1999,2001,Batch 6 collected 10.1.16,0.524934383,1.36,5.95,3.32,18/01/2016,
Eucalyptus optima,Eucalyptus optima,DN 2154,"Balladonia, WA",205,"05,6,7,8",2002,2007,2007,Batch 2 collected 10.11.15,0.525,1.36,2.06,1.64,19/11/2015,
Eucalyptus purpurata,Eucalyptus purpurata,DN 3579,"Bandalup Hill, WA",233,"21,22,23,24",2001,2004,2005,Batch 1 collected 1.11.15,0.526,1.36,2.92,2.7,11/11/2015,
Eucalyptus socialis subsp. victoriensis,Eucalyptus socialis subsp. victoriensis,DN 2323,"Immarna, SA",179,29,1999,2013,2013,Batch 7 collected 30.1.16,0.526592944,1.36,2.61,2.17,8/02/2016,
Eucalyptus torquata,Eucalyptus torquata,DN 135,"Norseman, WA",43,"01,2,3,4",1994,1997,1998,Batch 5 collected 6.12.15,0.527,1.36,4.2,2.82,14/12/2015,
Eucalyptus assimilans,Eucalyptus assimilans,DN 1826,"Balladonia, WA",133,"17,18,19,20",1997,1999,2001,Batch 3 collected 22.11.15,0.527,1.37,2.84,1.98,27/11/2015,
Eucalyptus sessilis,Eucalyptus sessilis,DN 1352,"Mt Hermannsburg, NT",88,"01,2,3,4",1996,1999,1999,Batch 3 collected 22.11.15,0.529,1.37,3.28,2.55,27/11/2015,
Eucalyptus thozetiana,Eucalyptus thozetiana,DN 1281,"Jericho, QLD",90,"01,2,3,4",1996,2007,2007,Batch 3 collected 22.11.15,0.529,1.37,3.46,2.85,27/11/2015,
Eucalyptus canescens subsp. canescens,Eucalyptus canescens subsp. canescens,DN 487,"Oak Valley, SA",39,"22,23,24,25",1994,1998,2000,Batch 5 collected 6.12.15,0.53,1.37,5.23,2.87,11/12/2015,
Eucalyptus eremicola subsp. peeneri,Eucalyptus eremicola subsp. peeneri,DN 1542,"Lake Yeo, WA",86,"12,13,14,15",1996,1998,1999,Batch 3 collected 22.11.15,0.531,1.37,3.66,2.62,30/11/2015,
Eucalyptus astringens subsp. redacta,Eucalyptus astringens subsp. redacta (pink form),DN 3585,"Desmond, WA",233,"13,14,15,16",2001,2003,2004,Batch 1 collected 1.11.15,0.531,1.37,2.97,2.04,12/11/2015,
NA,Eucalyptus sp. Haul Road,DN 2787,"Zanthus, WA",186,"22,23,24,25",2000,2002,2005,Batch 7 collected 30.1.16,0.531349628,1.38,2.58,2.44,9/02/2016,
Eucalyptus fraseri subsp. melanobasis,Eucalyptus fraseri subsp. melanobasis,DN 3642,"Fraser Range, WA",222,"04,5,6,7",2001,2004,2006,Batch 1 collected 1.11.15,0.533,1.38,3.45,2.42,10/11/2015,
Eucalyptus urna,Eucalyptus urna,DN 1817,"Caiguna, WA",133,"21,22,23,24",1997,2001,2003,Batch 3 collected 22.11.15,0.533,1.38,3.01,2.46,26/11/2015,
Eucalyptus kochii subsp. amaryssia ,Eucalyptus kochii subsp. amaryssia ,DN 2190,"Lake Barlee, WA",184,"38,39,40",2000,2004,2005,Batch 2 collected 10.11.15,0.536,1.39,2.61,1.94,23/11/2015,
Eucalyptus kessellii subsp. kessellii,Eucalyptus kessellii subsp. kessellii,DN 1101,"Mt Ridley, WA",65,"27,28,29,30",1995,1997,1998,Batch 5 collected 6.12.15,0.539,1.4,2.57,2.2,17/12/2015,
Eucalyptus rugulata,Eucalyptus rugulata,DN 3671,"South Ironcap, WA",226,"13,14,15,16",2001,2004,2006,Batch 1 collected 1.11.15,0.543,1.41,3.81,2.87,9/11/2015,
Eucalyptus annettae,Eucalyptus annettae,DN 6359,"Tookle Jenna Rock, WA",248,1,2013,,,Batch 6 collected 10.1.16,0.545553737,1.41,3.43,2.56,19/01/2016,
Eucalyptus gillii,Eucalyptus gillii,DN 2959,"Corona, NSW",183,"33,34,35,36",2000,2006,2006,Batch 1 collected 1.11.15,0.547,1.42,3.14,2.48,11/11/2015,
Eucalyptus annettae,Eucalyptus annettae,DN 6359,"Tookle Jenna Rock, WA",276,"13,14,15,16",2013,2015,,Batch 2 collected 10.11.15,0.547,1.42,2.45,2.45,20/11/2015,
NA,Eucalyptus sp. Battlecamp,DN 6437,"Cooktown, QLD",potted,,,,,Batch 7 collected 30.1.16,0.561482313,1.45,2.18,2.61,8/02/2016,very weak signal
Eucalyptus recta,Eucalyptus recta,DN 5074,"Mt Yule, WA",301,"01,2,3,4",2010,2014,,Batch 4 collected 29.11.15,0.568,1.47,3.04,2.14,9/12/2015,
Eucalyptus chartaboma,Eucalyptus chartaboma,DN 5143,"Pentland, QLD",potted,,,,,Batch 7 collected 30.1.16,0.597014925,1.55,3.01,2.86,8/02/2016,
NA,Eucalyptus aurantiaca,DN 4224,"Victoria River, NT",potted,,,,,Batch 7 collected 30.1.16,0.617665225,1.6,3.22,2.35,8/02/2016,
Eucalyptus ovata,Eucalyptus ovata subsp. grandiflora,DN 1594,"Strathdownie, VIC",92,"07,8,9,10",1996,1999,1999,Batch 3 collected 22.11.15,0.712,1.84,2.27,2.38,27/11/2015,
NA,Eucalyptus xanthoclada,DN 1294,"Pentland, QLD",89,30,1996,,,Batch 3 collected 22.11.15,0.752,1.95,2.25,2.07,27/11/2015,
