accepted_name,coevol_name,mean_gs,mean_height,mean_SLA,mean_sm,genus
Corymbia_pocillum,C_pocillum,NA,10,NA,NA,Corymbia
Corymbia_polycarpa,C_polycarpa,NA,20,NA,22,Corymbia
Corymbia_polysciada,C_polysciada,0.95,15,NA,NA,Corymbia
Corymbia_porrecta,C_porrecta,NA,20,NA,NA,Corymbia
Corymbia_ptychocarpa,C_ptychocarpa,NA,20,NA,59.4,Corymbia
Corymbia_rhodops,C_rhodops,0.91,15,61.02,NA,Corymbia
Corymbia_scabrida,C_scabrida,0.88,18,NA,NA,Corymbia
Corymbia_serendipita,C_serendipita,0.89,12,NA,NA,Corymbia
Corymbia_setosa,C_setosa,NA,4,NA,33.3,Corymbia
Corymbia_sphaerica,C_sphaerica,NA,10,NA,NA,Corymbia
Corymbia_stockeri,C_stockeri,NA,20,NA,NA,Corymbia
Corymbia_terminalis,C_terminalis,0.87,18,33.94,8.3,Corymbia
Corymbia_tessellaris,C_tessellaris,1.01,35,NA,6.53,Corymbia
Corymbia_torelliana,C_torelliana,0.87,30,NA,3.37,Corymbia
Corymbia_torta,C_torta,NA,15,NA,NA,Corymbia
Corymbia_trachyphloia,C_trachyphloia,0.865,15,NA,7.57,Corymbia
Corymbia_umbonata,C_umbonata,0.9,17,NA,NA,Corymbia
Corymbia_variegata,C_variegata,NA,NA,45.32,NA,Corymbia
Corymbia_watsoniana,C_watsoniana,0.9,15,NA,35.7,Corymbia
Corymbia_xanthope,C_xanthope,0.9,12,NA,NA,Corymbia
Corymbia_zygophylla,C_zygophylla,NA,6,NA,58.8,Corymbia
Eucalyptus_abdita,E_abdita,NA,3,NA,0.5188,Eucalyptus
Eucalyptus_absita,E_absita,1.23,10,50.49,0.17964,Eucalyptus
Eucalyptus_acaciiformis,E_acaciiformis,1.23,20,44.41,2.815,Eucalyptus
Eucalyptus_accedens,E_accedens,1.25,25,NA,4.04,Eucalyptus
Eucalyptus_acies,E_acies,NA,3,NA,3.44,Eucalyptus
Eucalyptus_acmenoides,E_acmenoides,1.1,45,NA,2.737,Eucalyptus
Eucalyptus_adesmophloia,E_adesmophloia,1.26,NA,NA,NA,Eucalyptus
Eucalyptus_aenea,E_aenea,NA,NA,26.64,NA,Eucalyptus
Eucalyptus_aequioperta,E_aequioperta,1.28,10,27.73,0.3492,Eucalyptus
Eucalyptus_agglomerata,E_agglomerata,1.15,40,34.49,5.72,Eucalyptus
Eucalyptus_aggregata,E_aggregata,1.18,20,46.42,0.87,Eucalyptus
Eucalyptus_alaticaulis,E_alaticaulis,1.22,NA,39.97,1.0104,Eucalyptus
Eucalyptus_alatissima,E_alatissima,1.28,NA,NA,NA,Eucalyptus
Eucalyptus_alba,E_alba,1.13,NA,NA,2.09,Eucalyptus
Eucalyptus_albens,E_albens,1.31,25,38.81,NA,Eucalyptus
Eucalyptus_albida,E_albida,1.14,3,27.15,0.8756,Eucalyptus
Eucalyptus_albopurpurea,E_albopurpurea,1.26,5,30.11,0.2912,Eucalyptus
Eucalyptus_alipes,E_alipes,1.3,NA,31.93,0.552,Eucalyptus
Eucalyptus_alligatrix,E_alligatrix,1.21,15,42.82,0.668,Eucalyptus
Eucalyptus_ammophila,E_ammophila,1.27,6,44.94,0.6748,Eucalyptus
Eucalyptus_amplifolia,E_amplifolia,1.225,30,45.67,1.4754,Eucalyptus
Eucalyptus_amygdalina,E_amygdalina,1.14,30,NA,5.24,Eucalyptus
Eucalyptus_ancophila,E_ancophila,1.24,35,NA,0.726,Eucalyptus
Eucalyptus_andrewsii,E_andrewsii,1.12,45,NA,6.820733333,Eucalyptus
Eucalyptus_angophoroides,E_angophoroides,1.2,40,NA,1.05,Eucalyptus
Eucalyptus_angularis,E_angularis,NA,3,NA,NA,Eucalyptus
Eucalyptus_angulosa,E_angulosa,1.26,5,23,6.19,Eucalyptus
