species_height,accepted_name,max_height,unit,mallee,coevol
Corymbia serendipita,Corymbia_serendipita,12,m,N,C_serendipita
Corymbia setosa,Corymbia_setosa,4,m,S,C_setosa
Corymbia sphaerica,Corymbia_sphaerica,10,m,S,C_sphaerica
Corymbia stockeri subsp. peninsularis,Corymbia_stockeri,20,m,N,C_stockeri
Corymbia terminalis,Corymbia_terminalis,18,m,S,C_terminalis
Corymbia tessellaris,Corymbia_tessellaris,35,m,N,C_tessellaris
Corymbia torelliana,Corymbia_torelliana,30,m,N,C_torelliana
Corymbia torta,Corymbia_torta,15,m,N,C_torta
Corymbia trachyphloia,Corymbia_trachyphloia,15,m,N,C_trachyphloia
Corymbia umbonata,Corymbia_umbonata,17,m,N,C_umbonata
Corymbia watsoniana subsp. watsoniana,Corymbia_watsoniana,15,m,N,C_watsoniana
Corymbia xanthope,Corymbia_xanthope,12,m,N,C_xanthope
Corymbia zygophylla,Corymbia_zygophylla,6,m,S,C_zygophylla
Eucalyptus abdita,Eucalyptus_abdita,3,m,Y,E_abdita
Eucalyptus absita,Eucalyptus_absita,10,m,Y,E_absita
Eucalyptus acaciiformis,Eucalyptus_acaciiformis,20,m,N,E_acaciiformis
Eucalyptus accedens,Eucalyptus_accedens,25,m,N,E_accedens
Eucalyptus acies,Eucalyptus_acies,3,m,Y,E_acies
Eucalyptus acmenoides,Eucalyptus_acmenoides,45,m,N,E_acmenoides
Eucalyptus aequioperta,Eucalyptus_aequioperta,10,m,S,E_aequioperta
Eucalyptus agglomerata,Eucalyptus_agglomerata,40,m,N,E_agglomerata
Eucalyptus aggregata,Eucalyptus_aggregata,20,m,N,E_aggregata
Eucalyptus albens,Eucalyptus_albens,25,m,N,E_albens
Eucalyptus albida,Eucalyptus_albida,3,m,Y,E_albida
Eucalyptus albopurpurea,Eucalyptus_albopurpurea,5,m,Y,E_albopurpurea
Eucalyptus alligatrix subsp. alligatrix,Eucalyptus_alligatrix,22.5,m,N,E_alligatrix
Eucalyptus amplifolia subsp. sessiliflora,Eucalyptus_amplifolia,30,m,N,E_amplifolia
Eucalyptus amygdalina,Eucalyptus_amygdalina,30,m,N,E_amygdalina
Eucalyptus ancophila,Eucalyptus_ancophila,35,m,N,E_ancophila
Eucalyptus andrewsii subsp. campanulata,Eucalyptus_andrewsii,45,m,N,E_andrewsii
Eucalyptus angophoroides,Eucalyptus_angophoroides,40,m,N,E_angophoroides
Eucalyptus angularis,Eucalyptus_angularis,3,m,Y,E_angularis
Eucalyptus angulosa,Eucalyptus_angulosa,5,m,Y,E_angulosa
Eucalyptus angustissima subsp. quaerenda,Eucalyptus_angustissima,4,m,Y,E_angustissima
Eucalyptus annulata,Eucalyptus_annulata,7,m,Y,E_annulata
Eucalyptus annuliformis,Eucalyptus_annuliformis,3,m,Y,E_annuliformis
Eucalyptus apiculata,Eucalyptus_apiculata,6,m,Y,E_apiculata
Eucalyptus apothalassica,Eucalyptus_apothalassica,15,m,N,E_apothalassica
Eucalyptus approximans subsp. codonocarpa,Eucalyptus_approximans,6,m,Y,E_approximans
Eucalyptus aquilina,Eucalyptus_aquilina,7,m,Y,E_aquilina
Eucalyptus arachnaea subsp. Arrecta,Eucalyptus_arachnaea,10,m,N,E_arachnaea
Eucalyptus arborella,Eucalyptus_arborella,5,m,Y,E_arborella
Eucalyptus archeri,Eucalyptus_archeri,12,m,S,E_archeri
Eucalyptus arenacea,Eucalyptus_arenacea,10,m,S,E_arenacea
Eucalyptus argutifolia,Eucalyptus_argutifolia,4,m,Y,E_argutifolia
Eucalyptus argyphea,Eucalyptus_argyphea,15,m,N,E_argyphea
Eucalyptus aromaphloia subsp. sabulosa,Eucalyptus_aromaphloia,16.5,m,N,E_aromaphloia
Eucalyptus articulata,Eucalyptus_articulata,3,m,Y,E_articulata
Eucalyptus aspersa,Eucalyptus_aspersa,6,m,S,E_aspersa
Eucalyptus aspratilis,Eucalyptus_aspratilis,5,m,Y,E_aspratilis
Eucalyptus astringens subsp. redacta,Eucalyptus_astringens,15,m,N,E_astringens
Eucalyptus badjensis,Eucalyptus_badjensis,45,m,N,E_badjensis
Eucalyptus baeuerlenii,Eucalyptus_baeuerlenii,20,m,S,E_baeuerlenii
Eucalyptus baileyana,Eucalyptus_baileyana,40,m,N,E_baileyana
Eucalyptus bakeri,Eucalyptus_bakeri,12,m,S,E_bakeri
Eucalyptus balanites,NA,5,m,S,NA
Eucalyptus balanopelex,NA,4,m,Y,NA
Eucalyptus balladoniensis subsp. sedens,Eucalyptus_balladoniensis,5,m,Y,E_balladoniensis
Eucalyptus bancroftii,Eucalyptus_bancroftii,15,m,N,E_bancroftii
Eucalyptus banksii,Eucalyptus_banksii,20,m,S,E_banksii
Eucalyptus barberi,Eucalyptus_barberi,8,m,S,E_barberi
Eucalyptus baudiniana,Eucalyptus_baudiniana,10,m,S,E_baudiniana
Eucalyptus baueriana,Eucalyptus_baueriana,20,m,N,E_baueriana
Eucalyptus baxteri,Eucalyptus_baxteri,40,m,S,E_baxteri
Eucalyptus beaniana,Eucalyptus_beaniana,15,m,N,E_beaniana
Eucalyptus beardiana,Eucalyptus_beardiana,4,m,Y,E_beardiana
Eucalyptus behriana,Eucalyptus_behriana,12,m,,E_behriana
Eucalyptus bensonii,Eucalyptus_bensonii,8,m,S,E_bensonii
Eucalyptus benthamii,Eucalyptus_benthamii,40,m,N,E_benthamii
Eucalyptus beyeriana,Eucalyptus_beyeriana,20,m,,E_beyeriana
Eucalyptus bigalerita,Eucalyptus_bigalerita,17,m,N,E_bigalerita
Eucalyptus blakelyi,Eucalyptus_blakelyi,25,m,N,E_blakelyi
Eucalyptus blaxellii,Eucalyptus_blaxellii,3,m,Y,E_blaxellii
Eucalyptus blaxlandii,Eucalyptus_blaxlandii,35,m,N,E_blaxlandii
Eucalyptus boliviana,Eucalyptus_boliviana,12,m,S,E_boliviana
Eucalyptus bosistoana,Eucalyptus_bosistoana,60,m,N,E_bosistoana
Eucalyptus botryoides,Eucalyptus_botryoides,40,m,N,E_botryoides
Eucalyptus brachyandra,Eucalyptus_brachyandra,8,m,S,E_brachyandra
Eucalyptus brachycalyx,Eucalyptus_brachycalyx,10,m,S,E_brachycalyx
Eucalyptus brachycorys,NA,7,m,Y,NA
Eucalyptus brachyphylla,NA,4,m,S,NA
Eucalyptus brassiana,Eucalyptus_brassiana,20,m,N,E_brassiana
Eucalyptus brevifolia,Eucalyptus_brevifolia,10,m,S,E_brevifolia
Eucalyptus brevipes,Eucalyptus_brevipes,5,m,Y,E_brevipes
Eucalyptus brevistylis,Eucalyptus_brevistylis,25,m,N,E_brevistylis
Eucalyptus bridgesiana,Eucalyptus_bridgesiana,25,m,N,E_bridgesiana
Eucalyptus brockwayi,Eucalyptus_brockwayi,15,m,N,E_brockwayi
Eucalyptus brookeriana,Eucalyptus_brookeriana,40,m,N,E_brookeriana
Eucalyptus broviniensis,Eucalyptus_broviniensis,10,m,N,E_broviniensis
Eucalyptus brownii,Eucalyptus_brownii,18,m,N,E_brownii
Eucalyptus buprestium,Eucalyptus_buprestium,4,m,Y,E_buprestium
Eucalyptus burdettiana,Eucalyptus_burdettiana,4,m,Y,E_burdettiana
Eucalyptus burgessiana,Eucalyptus_burgessiana,7,m,S,E_burgessiana
Eucalyptus burracoppinensis,Eucalyptus_burracoppinensis,5,m,Y,E_burracoppinensis
Eucalyptus cadens,Eucalyptus_cadens,25,m,N,E_cadens
Eucalyptus caesia subsp. magna,Eucalyptus_caesia,12.5,m,Y,E_caesia
Eucalyptus calcareana,Eucalyptus_calcareana,8,m,S,E_calcareana
Eucalyptus calcicola subsp. calcicola,Eucalyptus_calcicola,4,m,Y,E_calcicola
Eucalyptus caleyi subsp. caleyi,Eucalyptus_caleyi,30,m,N,E_caleyi
Eucalyptus caliginosa,Eucalyptus_caliginosa,35,m,N,E_caliginosa
Eucalyptus calycogona subsp. calycogona,Eucalyptus_calycogona,5.5,m,S,E_calycogona
Eucalyptus calyerup,Eucalyptus_calyerup,10,m,N,E_calyerup
Eucalyptus camaldulensis subsp. acuta,Eucalyptus_camaldulensis,32.8,m,N,E_camaldulensis
Eucalyptus cambageana,Eucalyptus_cambageana,25,m,N,E_cambageana
Eucalyptus cameronii,Eucalyptus_cameronii,40,m,N,E_cameronii
Eucalyptus camfieldii,Eucalyptus_camfieldii,10,m,S,E_camfieldii
Eucalyptus campaspe,Eucalyptus_campaspe,10,m,N,E_campaspe
Eucalyptus camphora subsp. camphora,Eucalyptus_camphora,10,m,S,E_camphora
Eucalyptus canaliculata,Eucalyptus_canaliculata,30,m,N,E_canaliculata
Eucalyptus canescens subsp. beadellii,Eucalyptus_canescens,3,m,Y,E_canescens
Eucalyptus canobolensis,Eucalyptus_canobolensis,12,m,N,E_canobolensis
Eucalyptus capillosa subsp. capillosa,Eucalyptus_capillosa,12,m,S,E_capillosa
Eucalyptus capitellata,Eucalyptus_capitellata,25,m,N,E_capitellata
Eucalyptus carnabyi,NA,5,m,Y,NA
Eucalyptus carnea,Eucalyptus_carnea,25,m,N,E_carnea
Eucalyptus carnei,Eucalyptus_carnei,6,m,S,E_carnei
Eucalyptus celastroides subsp. celastroides,Eucalyptus_celastroides,8,m,S,E_celastroides
Eucalyptus cephalocarpa,Eucalyptus_cephalocarpa,20,m,N,E_cephalocarpa
Eucalyptus ceracea,Eucalyptus_ceracea,6,m,N,E_ceracea
Eucalyptus cerasiformis,Eucalyptus_cerasiformis,3,m,Y,E_cerasiformis
Eucalyptus ceratocorys,Eucalyptus_ceratocorys,10,m,S,E_ceratocorys
Eucalyptus cernua,Eucalyptus_cernua,5,m,Y,E_cernua
Eucalyptus chapmaniana,Eucalyptus_chapmaniana,35,m,N,E_chapmaniana
Eucalyptus chartaboma,Eucalyptus_chartaboma,18,m,N,E_chartaboma
Eucalyptus chloroclada,Eucalyptus_chloroclada,20,m,N,E_chloroclada
Eucalyptus chlorophylla,Eucalyptus_chlorophylla,18,m,S,E_chlorophylla
Eucalyptus cinerea subsp. cinerea,Eucalyptus_cinerea,15,m,N,E_cinerea
Eucalyptus cladocalyx,Eucalyptus_cladocalyx,35,m,,E_cladocalyx
Eucalyptus clelandii,NA,10,m,N,NA
Eucalyptus clivicola,Eucalyptus_clivicola,12,m,N,E_clivicola
Eucalyptus cloeziana,Eucalyptus_cloeziana,55,m,N,E_cloeziana
Eucalyptus cneorifolia,Eucalyptus_cneorifolia,10,m,S,E_cneorifolia
Eucalyptus coccifera,Eucalyptus_coccifera,15,m,S,E_coccifera
Eucalyptus communalis,Eucalyptus_communalis,4,m,Y,E_communalis
Eucalyptus concinna,Eucalyptus_concinna,8,m,,E_concinna
Eucalyptus conferruminata,Eucalyptus_conferruminata,8,m,S,E_conferruminata
Eucalyptus confluens,Eucalyptus_confluens,8,m,N,E_confluens
Eucalyptus conglobata subsp. conglobata,Eucalyptus_conglobata,20,m,S,E_conglobata
Eucalyptus conglomerata,Eucalyptus_conglomerata,8,m,S,E_conglomerata
Eucalyptus conica,Eucalyptus_conica,20,m,N,E_conica
Eucalyptus consideniana,Eucalyptus_consideniana,30,m,S,E_consideniana
Eucalyptus conspicua,Eucalyptus_conspicua,10,m,N,E_conspicua
Eucalyptus conveniens,Eucalyptus_conveniens,2.5,m,Y,E_conveniens
Eucalyptus coolabah,Eucalyptus_coolabah,10,m,N,E_coolabah
Eucalyptus cooperiana,Eucalyptus_cooperiana,4,m,Y,E_cooperiana
Eucalyptus cordata,Eucalyptus_cordata,20,m,Y,E_cordata
Eucalyptus cornuta,Eucalyptus_cornuta,20,m,S,E_cornuta
Eucalyptus coronata,Eucalyptus_coronata,3,m,Y,E_coronata
Eucalyptus corrugata,Eucalyptus_corrugata,15,m,S,E_corrugata
Eucalyptus corticosa,Eucalyptus_corticosa,8,m,N,E_corticosa
Eucalyptus corynodes,Eucalyptus_corynodes,20,m,N,E_corynodes
Eucalyptus cosmophylla,Eucalyptus_cosmophylla,10,m,S,E_cosmophylla
Eucalyptus crebra,Eucalyptus_crebra,35,m,N,E_crebra
Eucalyptus crenulata,Eucalyptus_crenulata,12,m,N,E_crenulata
Eucalyptus creta,Eucalyptus_creta,10,m,N,E_creta
Eucalyptus cretata,Eucalyptus_cretata,4,m,Y,E_cretata
Eucalyptus crispata,Eucalyptus_crispata,8,m,Y,E_crispata
Eucalyptus croajingolensis,Eucalyptus_croajingolensis,30,m,N,E_croajingolensis
Eucalyptus crucis subsp. crucis,Eucalyptus_crucis,15,m,Y,E_crucis
Eucalyptus cullenii,Eucalyptus_cullenii,25,m,N,E_cullenii
Eucalyptus cunninghamii,Eucalyptus_cunninghamii,2,m,Y,E_cunninghamii
Eucalyptus cuprea,Eucalyptus_cuprea,6,m,,E_cuprea
Eucalyptus cupularis,Eucalyptus_cupularis,8,m,N,E_cupularis
Eucalyptus curtisii,Eucalyptus_curtisii,7,m,S,E_curtisii
Eucalyptus cyanophylla,Eucalyptus_cyanophylla,5,m,Y,E_cyanophylla
Eucalyptus cyclostoma,Eucalyptus_cyclostoma,3,m,Y,E_cyclostoma
Eucalyptus cylindriflora,Eucalyptus_cylindriflora,4,m,Y,E_cylindriflora
Eucalyptus cylindrocarpa,Eucalyptus_cylindrocarpa,6,m,Y,E_cylindrocarpa
Eucalyptus cypellocarpa,Eucalyptus_cypellocarpa,65,m,S,E_cypellocarpa
Eucalyptus dalrympleana subsp. dalrympleana,Eucalyptus_dalrympleana,40,m,N,E_dalrympleana
Eucalyptus dawsonii,Eucalyptus_dawsonii,20,m,N,E_dawsonii
Eucalyptus dealbata,Eucalyptus_dealbata,20,m,N,E_dealbata
Eucalyptus deanei,Eucalyptus_deanei,65,m,N,E_deanei
Eucalyptus decipiens subsp. adesmophloia,NA,5,m,Y,NA
Eucalyptus decipiens subsp. chalara,Eucalyptus_decipiens,5,m,Y,E_decipiens
Eucalyptus decolor,Eucalyptus_decolor,25,m,N,E_decolor
Eucalyptus decorticans,Eucalyptus_decorticans,40,m,N,E_decorticans
Eucalyptus decurva,Eucalyptus_decurva,3,m,Y,E_decurva
