Sample (Bag),accepted_name,species,dry mass (g),dry mass (g),dry mass (g),Area mm2,Area mm2,Area mm2,SLA cm2/g,SLA cm2/g,SLA cm2/g,mean_SLA,CV SLA,Mean Mass,Mean Area,
40,Eucalyptus spreta,Eucalyptus spreta,0.3482,0.5122,0.4149,883,1209,1043,25.37,23.6,25.15,24.71,3.91,0.425,1045,
41,Eucalyptus balladoniensis subsp. balladoniensis,Eucalyptus balladoniensis subsp. balladoniensis,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
42,Eucalyptus rugulata,Eucalyptus rugulataa,0.7554,0.8242,0.6587,1489,1662,1392,19.71,20.16,21.14,20.34,3.58,0.746,1514,
43,NA,Eucalyptus _dendrosheath”,0.4774,0.6384,0.3309,1187,1552,,24.87,24.31,,24.59,1.61,0.482,1370,
44,Eucalyptus olivina,Eucalyptus olivina,0.0872,0.0739,0.0758,270,224,230,30.96,30.31,30.34,30.54,1.2,0.079,241,
45,Eucalyptus crucis subsp. crucis,Eucalyptus crucis subsp. crucis,0.1268,0.1016,0.0882,607,452,418,47.86,44.47,47.41,46.58,3.95,0.106,492,
46,Eucalyptus albida,Eucalyptus albida,0.1943,0.143,0.2033,534,428,488,27.51,29.96,23.98,27.15,11.06,0.18,483,
47,Eucalyptus gardneri subsp. gardneri,Eucalyptus gardneri subsp. gardneri,0.4679,0.3676,0.5775,1466,1101,1637,31.33,29.94,28.35,29.87,4.99,0.471,1401,
48,Eucalyptus conveniens,Eucalyptus conveniens,0.2875,0.4424,0.3849,817,1257,1053,28.42,28.42,27.35,28.06,2.21,0.372,1042,
49,Eucalyptus gardneri subsp. gardneri,Eucalyptus gardneri subsp. gardneri,0.5231,0.3834,0.4133,1070,765,867,20.45,19.95,20.98,20.46,2.5,0.44,901,
50,Eucalyptus wubinensis,Eucalyptus wubinensis,1.2032,1.3888,0.9031,2439,2672,1707,20.27,19.24,18.91,19.47,3.65,1.165,2273,
51,Eucalyptus perangusta,Eucalyptus perangusta,0.0931,0.1263,0.1129,200,275,243,21.48,21.81,21.52,21.6,0.81,0.111,239,
52,Eucalyptus caesia,Eucalyptus caesia subsp. caesia,0.5661,0.3444,0.3633,1933,1258,1242,34.14,36.52,34.2,34.95,3.88,0.425,1478,
53,Eucalyptus alipes,Eucalyptus alipes,0.0887,0.0892,0.0678,274,274,232,30.84,30.72,34.22,31.93,6.22,0.082,260,
54,Eucalyptus platycorys,Eucalyptus platycorys,0.7105,0.4296,0.715,1671,1095,1434,23.52,25.48,20.06,23.02,11.93,0.618,1400,
