Sample (Bag),accepted_name,species,dry mass (g),dry mass (g),dry mass (g),Area mm2,Area mm2,Area mm2,SLA cm2/g,SLA cm2/g,SLA cm2/g,mean_SLA,CV SLA,Mean Mass,Mean Area,
173,Eucalyptus camphora subsp. humeana,Eucalyptus camphora subsp. humeana,0.6218,0.4472,0.2766,3803,2800,1559,61.16,62.61,56.36,60.04,5.44,0.449,2720,
174,Eucalyptus splendens subsp. arcana,Eucalyptus splendens subsp. arcana,0.3841,0.2973,0.3638,2512,,2505,65.4,,68.86,67.13,3.64,0.348,2509,
175,Eucalyptus globulus,Eucalyptus globulus (vic),1.0251,0.8247,,4185,3977,,40.83,48.22,,44.52,11.75,0.925,4081,
176,Eucalyptus calcicola subsp. calcicola,Eucalyptus calcicola subsp. calcicola,0.3076,0.205,0.3655,1560,987,,50.7,48.16,,49.43,3.63,0.293,1273,
177,Eucalyptus robertsonii subsp. robertsonii,Eucalyptus robertsonii subsp. robertsonii,0.1473,0.1915,0.2131,962,1330,1412,65.31,69.46,66.26,67.01,3.24,0.184,1235,
178,Eucalyptus cephalocarpa,Eucalyptus cephalocarpa,0.3086,0.5558,0.5363,1476,2539,2413,47.83,45.68,45,46.17,3.2,0.467,2143,
179,Eucalyptus lucasii,Eucalyptus lucasii,0.5298,0.5221,0.4951,2206,2149,1511,41.64,41.16,30.51,37.77,16.66,0.516,1955,
180,Eucalyptus hypolaena,Eucalyptus hypolaena,0.2139,0.2223,0.2673,700,677,905,32.73,30.47,33.86,32.35,5.34,0.235,761,
181,Eucalyptus canescens subsp. Canescens,E.canescens subsp.. Canescens,0.5773,1.1339,0.5026,1738,3038,1132,30.11,26.79,22.52,26.47,14.36,0.738,1969,
182,Eucalyptus nigrifunda,Eucalyptus nigrifunda,0.1493,0.4869,0.1692,514,1571,548,34.43,32.26,32.39,33.03,3.69,0.268,878,
183,Eucalyptus xerothermica,Eucalyptus xerothermica,0.4712,0.3303,0.3956,1656,1197,1449,35.14,36.25,36.62,36,2.13,0.399,1434,
184,NA,Eucalyptus minigwalica = aff leptophylla,0.1257,0.1311,0.1252,359,384,366,28.54,29.31,29.26,29.03,1.48,0.127,370,
185,Eucalyptus porosa,Eucalyptus porosa,0.1429,0.1809,0.1304,641,852,624,44.84,47.1,47.82,46.58,3.33,0.151,705,
186,Eucalyptus articulata,Eucalyptus articulata,0.3034,0.262,0.3118,871,,894,28.71,,28.67,28.69,0.09,0.292,883,
187,Eucalyptus jutsonii,Eucalyptus jutsonii,0.1064,0.0994,0.0982,289,328,322,27.17,33.03,32.82,31.01,10.73,0.101,313,
188,Eucalyptus transcontinentalis,Eucalyptus transcontinentalis,0.214,0.2058,0.4552,595,556,1217,27.79,27.01,26.73,27.18,2.01,0.292,789,
189,Eucalyptus leucophloia subsp. leucophloia,Eucalyptus leucophloia subsp. leucophloia,0.8805,0.4128,0.6501,2681,1270,1983,30.44,30.76,30.5,30.57,0.56,0.648,1978,
190,Eucalyptus surgens,Eucalyptus surgens,0.2046,0.1602,0.1802,728,569,648,35.6,35.53,35.94,35.69,0.62,0.182,648,
191,Eucalyptus stoatei,Eucalyptus stoatei,1.0417,0.3896,0.3601,1810,1102,1031,17.38,28.28,28.63,24.76,25.84,0.597,1314,
192,Eucalyptus dolichorhyncha,Eucalyptus dolichorhyncha,0.8978,0.1929,0.5025,1671,515,1059,18.61,26.68,21.07,22.12,18.7,0.531,1081,
193,Eucalyptus platypus subsp. Platypus,Eucalyptus platypus subsp.. Platypus,0.5039,0.1473,0.8491,1339,418,1704,26.57,28.35,20.07,25,17.43,0.5,1154,
194,NA,Eucalyptus brachyphylla (loxophleba subsp.. Lissophloia x,0.3849,0.1761,0.2137,1094,705,553,28.43,40.03,25.88,31.45,23.99,0.258,784,
195,Eucalyptus cneorifolia,Eucalyptus cneorifolia,0.0865,0.2596,0.1359,274,626,368,31.72,24.11,27.08,27.64,13.87,0.161,423,
196,Eucalyptus celastroides subsp. celastroides,Eucalyptus celastroides subsp. celastroides,0.6597,0.5223,0.3363,1771,1534,1224,26.84,29.37,36.4,30.87,16.04,0.506,1510,
197,NA,Eucalyptus goniocalyx subsp.. Saxicola,0.9619,0.8225,,4707,3794,,48.93,46.13,,47.53,4.18,0.892,4251,
198,Eucalyptus youngiana,Eucalyptus youngiana,0.6866,1.1822,0.7718,2001,3372,2239,29.15,28.52,29.01,28.89,1.13,0.88,2537,
199,Eucalyptus leucoxylon subsp. Megalocarpa,Eucalyptus leucoxylon subsp.. Megalocarpa,0.7423,0.5086,0.7577,3354,2442,3576,45.18,48.01,47.2,46.8,3.11,0.67,3124,
200,Eucalyptus leptophylla,Eucalyptus leptophylla,0.0785,0.0575,0.0638,275,209,219,35.03,36.37,34.37,35.26,2.88,0.067,234,
201,Eucalyptus rigidula,Eucalyptus rigidula Corrigin,0.1699,0.1211,0.1221,455,307,374,26.78,25.35,30.66,27.6,9.95,0.138,379,
202,Eucalyptus gracilis,Eucalyptus gracilis,0.1012,0.0933,0.1048,397,291,305,39.23,31.19,29.1,33.17,16.12,0.1,331,
203,Eucalyptus leucoxylon subsp. Pruinosa,Eucalyptus leucoxylon subsp.. Pruinosa (SA),0.177,0.2048,0.0447,945,1027,252,53.39,50.15,56.38,53.3,5.84,0.142,741,
204,Eucalyptus intertexta,Eucalyptus intertexta (SA),0.1437,0.1791,0.177,638,795,816,44.4,44.39,46.1,44.96,2.19,0.167,750,
205,Eucalyptus alligatrix subsp. Miscella,Eucalyptus alligatrix subsp.. Miscella,0.203,0.1801,0.1652,1081,1042,1067,53.25,57.86,64.59,58.57,9.74,0.183,1063,
206,Eucalyptus morrisii,Eucalyptus morrisii,0.1533,0.3391,0.4242,519,1264,1636,33.86,37.28,38.57,36.57,6.66,0.306,1140,
207,Eucalyptus melanophloia,Eucalyptus melanophlois subsp.. Melanophloia,0.2048,0.2855,0.5301,934,1854,3323,45.62,64.94,62.69,57.75,18.29,0.34,2037,
208,Eucalyptus moluccana,Eucalyptus moluccana (queenslandica),1.9304,1.8703,0.6595,5189,5208,1976,26.88,27.84,29.97,28.23,5.59,1.487,4124,
209,Eucalyptus nicholii,Eucalyptus nicholii,0.0703,0.0676,0.0945,392,394,487,55.76,58.26,51.51,55.17,6.19,0.077,424,
210,Eucalyptus goniocalyx subsp. exposa,Eucalyptus goniocalyx subsp. exposa,0.232,0.2856,0.1738,1055,1333,797,45.46,46.68,45.84,45.99,1.36,0.23,1061,
211,Eucalyptus blakelyi,Eucalyptus blakelyi,0.4424,0.5034,,2849,3163,,64.4,62.83,,63.62,1.74,0.473,3006,
212,Eucalyptus dealbata,Eucalyptus dealbata,0.3659,0.2234,0.519,1940,1191,2196,53.02,53.31,42.31,49.55,12.65,0.369,1776,
213,Eucalyptus kabiana,Eucalyptus kabiana,0.1659,0.231,0.1649,886,1348,1020,53.41,58.35,61.86,57.87,7.34,0.187,1085,
214,Eucalyptus acaciiformis,Eucalyptus acaciiformis,0.4879,0.2837,,2051,1327,,42.04,46.78,,44.41,7.54,0.386,1689,
215,Eucalyptus banksii,Eucalyptus banksii,0.5259,0.4303,0.5375,1972,1987,2214,37.5,46.19,41.18,41.62,10.48,0.498,2058,
216,Eucalyptus sparsifolia,Eucalyptus sparsifolia,0.6988,0.7664,0.5861,2495,3002,2235,35.71,39.18,38.14,37.67,4.72,0.684,2578,
217,Eucalyptus smithii,Eucalyptus smithii,0.2454,0.3794,0.2586,1939,2531,2007,79,66.71,77.63,74.45,9.04,0.294,2159,
218,Eucalyptus glaucescens,Eucalyptus glaucescens,0.2657,0.3636,0.2569,1226,1631,1336,46.14,44.86,52,47.67,7.99,0.295,1398,
219,Eucalyptus consideniana,Eucalyptus consideniana,0.3814,0.4391,0.5419,1925,1812,2437,50.47,41.27,44.97,45.57,10.16,0.454,2058,
220,Eucalyptus prava,Eucalyptus prava,0.371,0.5387,0.342,2010,2571,1692,54.17,47.73,49.47,50.46,6.6,0.417,2091,
221,Eucalyptus amplifolia subsp. sessiliflora,Eucalyptus amplifolia subsp. sessiliflora,0.3316,0.4028,0.3024,1581,2205,1489,47.67,54.75,49.25,50.56,7.35,0.346,1758,
222,NA,Eucalyptus psammatica,0.5028,0.6706,0.4634,2334,3161,2281,46.43,47.14,49.23,47.6,3.06,0.546,2592,
223,Eucalyptus baileyana,Eucalyptus baileyana (NSW),0.5232,0.4026,0.7896,1776,1511,3770,33.95,37.52,47.74,39.74,18.01,0.572,2352,
224,Eucalyptus notabilis,Eucalyptus notabilis,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
225,Eucalyptus amplifolia subsp. amplifolia,Eucalyptus amplifolia subsp. amplifolia,1.1328,0.5137,1.1514,4651,2060,4741,41.06,40.11,41.18,40.78,1.43,0.933,3818,
226,Corymbia eximia,Corymbia eximia,0.4184,0.4244,0.2439,1878,1817,1182,44.88,42.8,48.47,45.39,6.32,0.362,1626,
227,Eucalyptus pumila,Eucalyptus pumila,0.5635,0.3811,0.3431,2306,2081,1514,40.92,54.6,44.14,46.55,15.36,0.429,1967,
228,Eucalyptus panda,Eucalyptus panda,0.2493,0.8464,0.4659,1518,3001,2844,60.88,35.45,61.04,52.46,28.07,0.521,2454,
229,Corymbia bunites,Corymbia bunites,0.3503,0.2884,1.1239,2098,1679,5721,59.9,58.21,50.9,56.34,8.48,0.588,3166,
230,Corymbia intermedia,Corymbia intermedia,0.2867,0.2858,0.3918,1848,1648,2566,64.45,57.66,65.49,62.53,6.8,0.321,2021,
231,Corymbia citriodora,Corymbia citriodora,0.4087,0.3231,0.2345,2429,2220,1641,59.43,68.71,69.98,66.04,8.72,0.322,2097,
232,Eucalyptus disclusa,Eucalyptus disclusa,0.2455,0.3008,0.2701,1356,1725,1507,55.23,57.35,55.79,56.13,1.95,0.272,1529,
234,Eucalyptus quadrangulata,Eucalyptus quadrangulata,0.1378,0.0931,0.1531,673,471,691,48.84,50.59,45.13,48.19,5.78,0.128,612,
235,Eucalyptus mannifera,Eucalyptus mannifera (gullickii),0.3206,0.2696,0.2355,1929,1692,1571,60.17,62.76,66.71,63.21,5.21,0.275,1731,
236,Eucalyptus planchoniana,Eucalyptus planchoniana,0.8574,0.9148,,3217,3844,,37.52,42.02,,39.77,8,0.886,3531,
237,Corymbia watsoniana subsp. watsoniana,Corymbia watsoniana subsp. watsoniana,0.7661,0.9041,0.7811,3151,3745,2915,41.14,41.42,37.32,39.96,5.74,0.817,3270,
238,Corymbia bloxsomei,Corymbia bloxsomei,0.4514,0.3113,0.4231,2103,1506,2378,46.59,48.36,56.2,50.38,10.16,0.395,1996,
239,Eucalyptus parramattensis subsp. decadens,Eucalyptus parramattensis subsp. decadens,0.5624,0.4948,0.1827,2097,1993,766,37.28,40.28,41.94,39.84,5.93,0.413,1619,
240,Corymbia catenaria,Corymbia catenaria,1.0861,0.5399,0.6156,5579,2743,2885,51.37,50.8,46.86,49.68,4.95,0.747,3736,
241,Eucalyptus cloeziana,Eucalyptus cloeziana,0.1144,0.1245,0.155,874,932,893,76.41,74.88,57.58,69.62,15.02,0.131,900,
242,Eucalyptus macrorhyncha subsp. cannonii,Eucalyptus macrorhyncha subsp. cannonii,0.3809,0.5135,0.3777,1600,1974,1401,42.02,38.44,37.11,39.19,6.48,0.424,1659,
243,Eucalyptus rossii,Eucalyptus rossii Pyramul,0.2366,0.3982,0.358,1553,2211,1925,65.66,55.53,53.78,58.32,11,0.331,1897,
244,Eucalyptus nova-anglica,Eucalyptus nova-anglica,0.4761,0.4819,0.3116,3131,2961,1976,65.77,61.45,63.42,63.55,3.4,0.423,2690,
245,Eucalyptus laevopinea,Eucalyptus laevopinea,0.5408,0.5416,0.3766,2952,3133,2185,54.58,57.85,58.03,56.82,3.42,0.486,2757,
246,Eucalyptus nobilis,Eucalyptus nobilis,0.8123,0.5323,0.2412,3943,2789,1382,48.54,52.39,57.29,52.74,8.32,0.529,2704,
247,Eucalyptus latisinensis,Eucalyptus latisinensis,0.4119,1.0274,0.6037,2314,5037,3065,56.17,49.03,50.78,51.99,7.16,0.681,3472,
248,NA,Eucalyptus mickieana,1.0374,0.8013,,4286,3372,,41.31,42.08,,41.7,1.3,0.919,3829,
249,Eucalyptus hallii,Eucalyptus hallii,0.3671,0.4935,0.3305,1680,2719,1685,45.77,55.09,50.99,50.62,9.23,0.397,2028,
250,NA,Eucalyptus ralla,0.2025,0.1854,0.0871,957,791,521,47.26,42.68,59.81,49.92,17.76,0.158,756,
251,Eucalyptus lacrimans,Eucalyptus lacrimans,0.7849,0.3643,1.0678,1979,983,2981,25.21,26.99,27.92,26.71,5.14,0.739,1981,
252,Corymbia hendersonii,Corymbia hendersonii,0.3689,0.2243,0.2985,1811,1059,1377,49.09,47.23,46.12,47.48,3.17,0.297,1416,
253,Eucalyptus imitans,Eucalyptus imitans,0.465,1.0259,,1710,3143,,36.77,30.64,,33.71,12.88,0.745,2427,
254,Eucalyptus vicina,Eucalyptus vicina,0.1072,0.239,0.2074,469,902,754,43.75,37.74,36.35,39.28,10.01,0.185,708,
255,Eucalyptus oblonga,Eucalyptus oblonga,0.3323,0.2952,0.3708,1112,950,1145,33.46,32.18,30.88,32.17,4.02,0.333,1069,
256,Eucalyptus interstans,Eucalyptus interstans,0.284,0.3821,0.2738,1737,2330,1617,61.16,60.98,59.06,60.4,1.93,0.313,1895,
257,Eucalyptus bridgesiana,Eucalyptus bridgesiana,0.1808,0.2343,0.2213,866,1267,1141,47.9,54.08,51.56,51.18,6.07,0.212,1091,
258,Eucalyptus michaeliana,Eucalyptus michaeliana,0.5068,0.1695,0.2909,2360,822,1757,46.57,48.5,60.4,51.82,14.46,0.322,1646,
259,Eucalyptus retinens,Eucalyptus retinens,0.8828,0.429,1.304,3095,1324,4671,35.06,30.86,35.82,33.91,7.87,0.872,3030,
260,Eucalyptus capitellata,Eucalyptus capitellata,0.7642,0.5806,,3002,2588,,39.29,44.57,,41.93,8.91,0.672,2795,
261,Eucalyptus williamsiana,Eucalyptus williamsiana,0.7338,0.418,1.0504,1813,1175,2656,24.71,28.11,25.29,26.03,6.99,0.734,1881,
262,Eucalyptus yumbarrana,Eucalyptus yumbarrana,1.1859,1.3491,1.0609,2341,2563,2299,19.74,19,21.67,20.14,6.85,1.199,2401,
263,Eucalyptus minniritchi,Eucalyptus minniritchi,0.3491,0.3111,0.3844,1074,862,1036,30.76,27.71,26.95,28.47,7.09,0.348,991,
264,Eucalyptus prominens,Eucalyptus prominens,0.3851,0.2567,0.1399,1112,846,429,28.88,32.96,30.66,30.83,6.63,0.261,796,
265,Eucalyptus kingsmillii,Eucalyptus kingsmillii subsp. alatissima,0.232,0.1891,0.3111,703,630,896,30.3,33.32,28.8,30.81,7.46,0.244,743,
266,NA,Eucalyptus nbrachycorys,0.271,0.2343,0.3326,752,758,880,27.75,32.36,26.45,28.85,10.76,0.279,797,
267,NA,Eucalyptus ravensthorpensis,0.24,0.2253,0.4912,954,972,1789,39.76,43.16,36.42,39.78,8.48,0.319,1238,
268,Eucalyptus pyriformis,Eucalyptus pryriformis,0.3325,0.3665,0.1818,881,1010,542,26.5,27.56,29.84,27.96,6.1,0.294,811,
269,Eucalyptus assimilans,Eucalyptus assimilans,1.4495,1.4537,1.999,2836,2661,3684,19.57,18.3,18.43,18.77,3.71,1.634,3060,
270,Eucalyptus urna,Eucalyptus urna,0.6912,0.8286,0.7755,1588,1887,1659,22.98,22.77,21.39,22.38,3.87,0.765,1711,
271,Eucalyptus cretata,Eucalyptus cretata,1.3233,0.6081,0.5715,3237,1426,1313,24.47,23.45,22.97,23.63,3.23,0.834,1992,
272,Eucalyptus vegrandis subsp. recondita,Eucalyptus vegrandis subsp. reconfita,0.2616,0.2531,0.2365,610,572,522,23.32,22.6,22.07,22.66,2.76,0.25,568,
273,Eucalyptus sepulcralis,Eucalyptus sepulcralis,0.279,0.1678,0.0905,969,608,350,34.73,36.23,38.67,36.55,5.44,0.179,642,
274,Eucalyptus moderata,Eucalyptus moderata Dowerin,0.235,0.3982,0.3646,828,992,1245,35.24,24.91,34.15,31.43,18.05,0.333,1022,
275,Eucalyptus insularis,Eucalyptus insularis,0.0115,0.0125,0.013,80,89,97,69.54,71.48,74.93,71.98,3.79,0.012,89,
276,Eucalyptus socialis subsp. socialis,Eucalyptus socialis subsp. socialis,0.2748,0.3278,0.3053,832,950,990,30.26,28.99,32.42,30.56,5.69,0.303,924,
277,Eucalyptus flocktoniae subsp. hebes,Eucalyptus flocktoniae subsp. hebes,0.7362,0.2841,0.4572,1574,659,983,21.38,23.19,21.5,22.02,4.59,0.493,1072,
278,Eucalyptus oxymitra,Eucalyptus oxymitra,0.2217,0.1104,0.1219,609,344,,27.47,31.16,,29.31,8.9,0.151,477,
279,Eucalyptus gillenii,Eucalyptus gillenii (SA),0.3509,0.2575,0.2728,1459,1073,1104,41.57,41.67,40.46,41.23,1.63,0.294,1212,
280,Corymbia eremaea subsp. Eremaea,Corymbia eremaea subsp. eremaea (SA),0.3293,0.3599,0.3479,1268,1261,1376,38.51,35.03,39.55,37.69,6.27,0.346,1302,
281,Eucalyptus percostata,Eucalyptus percostata,0.4905,0.387,0.4215,1226,1185,1017,24.99,30.62,24.13,26.58,13.26,0.433,1143,
282,Eucalyptus diversifolia subsp. hesperia,Eucalyptus diversifolia subsp. hesperia,0.2546,0.3436,0.3213,825,1184,1063,32.4,34.46,33.08,33.32,3.14,0.307,1024,
283,Eucalyptus incrassata,Eucalyptus incrassata,0.4118,0.6895,0.4747,1172,1496,1524,28.46,21.7,32.1,27.42,19.26,0.525,1397,
284,Eucalyptus neutra,Eucalyptus neutra,0.3666,0.4035,0.4666,1023,1012,1195,27.92,25.07,25.62,26.2,5.77,0.412,1077,
285,Eucalyptus cadens,Eucalyptus cadens,0.2013,0.1279,0.0737,1053,719,395,52.32,56.21,53.6,54.04,3.67,0.134,722,
286,Eucalyptus goniantha subsp. goniantha,Eucalyptus goniantha subsp. goniantha,0.4992,0.9936,,2044,3700,,40.95,37.24,,39.09,6.71,0.746,2872,
287,Eucalyptus arenacea,Eucalyptus arenacea,0.3477,0.4826,0.5009,1200,1683,1786,34.5,34.87,35.66,35.01,1.69,0.444,1556,
288,Eucalyptus flocktoniae subsp. flocktoniae,Eucalyptus flocktoniae subsp. flocktoniae,0.4278,0.2734,0.1916,1154,623,583,26.97,22.79,30.42,26.73,14.31,0.298,787,
289,Eucalyptus fasciculosa,Eucalyptus fasciculosa _south east”,0.3077,0.4123,0.3516,1301,1810,1665,42.28,43.9,47.35,44.51,5.82,0.357,1592,
290,NA,Eucalyptus unita,0.2461,0.2376,0.2266,1066,1056,967,43.31,44.43,42.67,43.47,2.05,0.237,1030,
291,Eucalyptus odorata,Eucalyptus ordorata,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
292,Eucalyptus latens,Eucalyptus latens,0.0526,0.0537,0.0401,,167,136,,31.09,33.92,32.5,6.14,0.049,151,
293,Eucalyptus cooperiana,Eucalyptus cooperiana,0.4858,0.6548,,1490,1807,,30.67,27.6,,29.13,7.46,0.57,1649,
294,Eucalyptus tricarpa,Eucalyptus tricarpa,0.249,0.3686,0.2386,1157,1767,,46.47,47.94,,47.2,2.21,0.285,1462,
295,Eucalyptus peninsularis,Eucalyptus peninsularis,0.4595,0.7876,0.7108,1870,2843,2419,40.69,36.1,34.04,36.94,9.22,0.653,2377,
296,Eucalyptus pluricaulis subsp. pluricaulis,Eucalyptus pluricaulis subsp. pluricaulis,0.2396,0.2405,0.1539,716,695,459,29.88,28.9,29.82,29.54,1.87,0.211,623,
297,Eucalyptus aspersa,Eucalyptus aspersa,0.4461,0.3431,0.4845,1502,1399,1486,33.67,40.78,30.67,35.04,14.81,0.425,1462,
298,Eucalyptus caliginosa,Eucalyptus caliginosa,0.3826,0.4279,0.7028,1412,,2348,36.91,,33.41,35.16,7.03,0.504,1880,
299,NA,Eucalyptus hauseana,0.442,0.5721,,3269,4454,,73.96,77.85,,75.91,3.63,0.507,3862,
300,Eucalyptus socialis subsp. victoriensis,Eucalyptus socialias subsp. viridiflora,0.1902,0.1443,0.2042,546,493,569,28.69,34.14,27.87,30.23,11.27,0.18,536,
301,NA,Eucalyptus drummondii subsp. _glauciflora”,0.3942,0.3177,0.2135,1392,1162,852,35.32,36.57,39.89,37.26,6.34,0.308,1135,
302,Corymbia maculata,Corymbia maculata,0.7717,0.8021,,4117,4158,,53.35,51.83,,52.59,2.03,0.787,4137,
303,NA,Eucalyptus splendens subsp. splendens,0.2072,0.2309,,1240,1240,,59.86,53.72,,56.79,7.65,0.219,1240,
304,Eucalyptus botryoides,Eucalyptus botryoides,0.7308,0.8894,0.423,2946,4109,1798,40.31,46.19,42.51,43.01,6.91,0.681,2951,
305,Eucalyptus pachycalyx subsp. pachycalyx,E.pachycalyx subsp. pachycalyx,0.2151,0.2462,0.3611,957,1099,1192,44.48,44.65,33.01,40.71,16.39,0.274,1083,
306,Eucalyptus viminalis subsp. pryoriana,Eucalyptus viminalis subsp. pryoriana,0.2912,0.2216,0.3165,1092,940,1184,37.51,42.42,37.42,39.11,7.31,0.276,1072,
307,Eucalyptus crenulata,Eucalyptus crenulata,0.1244,0.0898,0.1293,919,698,960,73.84,77.7,74.24,75.26,2.82,0.115,859,
308,NA,Eucalyptus msckintii,1.7007,1.0168,,5708,3316,,33.56,32.61,,33.09,2.03,1.359,4512,
309,Eucalyptus spectatrix,Eucalyptus spectatrix,0.7119,0.4175,0.3144,2013,1234,918,28.27,29.55,29.2,29.01,2.28,0.481,1388,
315,Eucalyptus obtusiflora subsp. obtusiflora,Eucalyptus ostusidlora subsp. obtusiflora,0.5658,0.3411,0.4506,1781,1111,1466,31.48,32.56,32.53,32.19,1.92,0.453,1452,
316,Eucalyptus loxophleba subsp. supralaevis,Eucalyptus loxophleba subsp. supralaevis,0.2396,0.1499,,902,898,640,37.63,59.88,,48.76,32.26,0.195,813,
317,NA,Eucalyptus sargentii subsp. fallens,0.1812,0.1216,0.1696,558,418,469,30.8,34.39,27.64,30.94,10.92,0.157,482,
318,Eucalyptus pilbarensis,Eucalyptus pibaraensis,0.3493,0.3167,0.2076,1083,1232,755,31.01,38.91,36.36,35.43,11.37,0.291,1023,
319,Eucalyptus ultima,Eucalyptus ultima,0.1135,0.1532,0.0854,402,521,326,35.41,34.02,38.22,35.88,5.96,0.117,417,
320,Eucalyptus foecunda,Eucalyptus foecunda,0.1099,0.1039,0.0873,517,463,415,47.06,44.57,47.55,46.39,3.45,0.1,465,
321,Eucalyptus mannensis subsp. vespertina,Eucalyptus mannensis subsp. vespertina,0.3469,0.3228,0.3605,1245,1104,1413,35.9,34.19,39.19,36.43,6.97,0.343,1254,
322,Eucalyptus celastroides subsp. virella,Eucalyptus celastroides subsp. virella,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
323,Eucalyptus georgei subsp. georgei,Eucalyptus georgei subsp. georgei,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
324,Corymbia tessellaris,Corymbia  tessellaris,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
325,Eucalyptus oleosa subsp. corvina,Eucalyptus oleosa subsp. corvina,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
326,Eucalyptus victrix,Eucalyptus victrix,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
328,Eucalyptus roycei,Eucalyptus roycei,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
329,Eucalyptus dumosa,Eucalyptus dumosa _subditiva”,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
330,Eucalyptus calycogona subsp. spaffordii,Eucalyptus calycogona subsp. spaffordii,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
331,Eucalyptus calycogona subsp. spaffordii,,0.4145,0.3315,0.3822,1090,909,965,26.31,27.42,25.25,26.32,4.12,0.376,988,
332,Eucalyptus hamersleyana,Eucalyptus hamersleyana,0.4184,0.5716,0.5935,1254,1451,1631,29.96,25.39,27.48,27.61,8.28,0.528,1445,
333,Eucalyptus discreta,Eucalyptus discreta subsp. _discreta”,0.1791,0.3169,0.2521,539,848,740,30.07,26.75,29.33,28.72,6.08,0.249,709,
334,Eucalyptus micranthera,Eucalyptus micranthera,0.6438,0.4129,0.3806,1549,1123,1091,24.07,27.2,28.68,26.65,8.83,0.479,1255,
335,Eucalyptus uncinata,Eucalyptus uncinata subsp. _dendra”,0.2445,0.2738,0.1886,260,796,609,10.64,29.06,32.29,23.99,48.67,0.236,555,
336,Eucalyptus repullulans,Eucalyptus repullulans,1.2263,0.8104,0.8823,2977,1984,2266,24.28,24.48,25.69,24.82,3.07,0.973,2409,
337,Eucalyptus laeliae,Eucalyptus laeliae,0.3664,0.4601,0.2384,1649,1833,1128,45.01,39.84,47.32,44.06,8.7,0.355,1537,
338,Eucalyptus cyanophylla,Eucalyptus cyanophylla,0.5025,0.7704,1.2111,1359,2031,3193,27.04,26.36,26.36,26.59,1.47,0.828,2194,
339,Eucalyptus odorata,Eucalyptus ordorata _Boston Island”,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
340,Eucalyptus normantonensis,Eucalyptus normantonensis _WA”,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
341,Eucalyptus litorea,Eucalyptus litorea,1.0599,0.2736,0.8795,2964,951,2663,27.97,34.75,30.28,31,11.12,0.738,2193,
342,Eucalyptus creta,Eucalyptus creta,0.3519,0.6244,0.3252,1001,1201,973,28.43,19.23,29.92,25.86,22.4,0.434,1058,
343,Eucalyptus kessellii subsp. kessellii,Eucalyptus kessellii subsp. kessellii,0.6124,1.5071,1.7755,1946,2929,3575,31.78,19.44,20.14,23.78,29.15,1.298,2817,
344,Eucalyptus extrica,Eucalyptus extrica,0.4634,0.3811,,1400,1242,,30.22,32.6,,31.41,5.35,0.422,1321,
345,Eucalyptus victrix,Eucalyptus victrix,0.5865,0.5499,0.6218,2061,2185,2374,35.15,39.73,38.17,37.68,6.18,0.586,2207,
346,NA,Eucalyptus accendens,0.2128,0.371,0.2593,725,1079,1009,34.06,29.09,38.93,34.02,14.46,0.281,938,
347,Eucalyptus normantonensis,Eucalyptus normantonensis _NT”,0.3016,0.3332,0.6182,1024,1156,1803,33.94,34.68,29.17,32.6,9.17,0.418,1328,
348,Corymbia eremaea subsp. oligocarpa,Corymbia eremaea subsp. oligocarpa,0.2838,0.2514,0.1827,1005,907,635,35.41,36.09,34.75,35.41,1.89,0.239,849,
349,Eucalyptus largiflorens,Eucalyptus lardiflorens,0.1445,0.2299,0.282,673,978,1144,46.59,42.55,40.58,43.24,7.08,0.219,932,
350,Eucalyptus ceratocorys,Eucalyptus ceratocorys (capitanea),1.3802,1.0691,1.006,2219,1128,1441,16.07,10.55,14.33,13.65,20.67,1.152,1596,
351,Eucalyptus rudis subsp. cratyantha,Eucalyptus rudis subsp. cratyantha,0.1731,0.1858,,1011,,,58.4,0,#DIV/0!,#DIV/0!,#DIV/0!,0.179,1011,
