species_height,accepted_name,coevol,mallee
Corymbia xanthope,Corymbia_xanthope,C_xanthope,N
Corymbia zygophylla,Corymbia_zygophylla,C_zygophylla,S
Eucalyptus abdita,Eucalyptus_abdita,E_abdita,Y
Eucalyptus absita,Eucalyptus_absita,E_absita,Y
Eucalyptus acaciiformis,Eucalyptus_acaciiformis,E_acaciiformis,N
Eucalyptus accedens,Eucalyptus_accedens,E_accedens,N
Eucalyptus acies,Eucalyptus_acies,E_acies,Y
Eucalyptus acmenoides,Eucalyptus_acmenoides,E_acmenoides,N
Eucalyptus aequioperta,Eucalyptus_aequioperta,E_aequioperta,S
Eucalyptus agglomerata,Eucalyptus_agglomerata,E_agglomerata,N
Eucalyptus aggregata,Eucalyptus_aggregata,E_aggregata,N
Eucalyptus albens,Eucalyptus_albens,E_albens,N
Eucalyptus albida,Eucalyptus_albida,E_albida,Y
Eucalyptus albopurpurea,Eucalyptus_albopurpurea,E_albopurpurea,Y
Eucalyptus alligatrix subsp. alligatrix,Eucalyptus_alligatrix,E_alligatrix,N
Eucalyptus amplifolia subsp. sessiliflora,Eucalyptus_amplifolia,E_amplifolia,N
Eucalyptus amygdalina,Eucalyptus_amygdalina,E_amygdalina,N
Eucalyptus ancophila,Eucalyptus_ancophila,E_ancophila,N
Eucalyptus andrewsii subsp. campanulata,Eucalyptus_andrewsii,E_andrewsii,N
Eucalyptus angophoroides,Eucalyptus_angophoroides,E_angophoroides,N
Eucalyptus angularis,Eucalyptus_angularis,E_angularis,Y
Eucalyptus angulosa,Eucalyptus_angulosa,E_angulosa,Y
Eucalyptus angustissima subsp. quaerenda,Eucalyptus_angustissima,E_angustissima,Y
Eucalyptus annulata,Eucalyptus_annulata,E_annulata,Y
Eucalyptus annuliformis,Eucalyptus_annuliformis,E_annuliformis,Y
Eucalyptus apiculata,Eucalyptus_apiculata,E_apiculata,Y
Eucalyptus apothalassica,Eucalyptus_apothalassica,E_apothalassica,N
Eucalyptus approximans subsp. codonocarpa,Eucalyptus_approximans,E_approximans,Y
Eucalyptus aquilina,Eucalyptus_aquilina,E_aquilina,Y
Eucalyptus arachnaea subsp. Arrecta,Eucalyptus_arachnaea,E_arachnaea,N
Eucalyptus arborella,Eucalyptus_arborella,E_arborella,Y
Eucalyptus archeri,Eucalyptus_archeri,E_archeri,S
Eucalyptus arenacea,Eucalyptus_arenacea,E_arenacea,S
Eucalyptus argutifolia,Eucalyptus_argutifolia,E_argutifolia,Y
Eucalyptus argyphea,Eucalyptus_argyphea,E_argyphea,N
Eucalyptus aromaphloia subsp. sabulosa,Eucalyptus_aromaphloia,E_aromaphloia,N
Eucalyptus articulata,Eucalyptus_articulata,E_articulata,Y
Eucalyptus aspersa,Eucalyptus_aspersa,E_aspersa,S
Eucalyptus aspratilis,Eucalyptus_aspratilis,E_aspratilis,Y
Eucalyptus astringens subsp. redacta,Eucalyptus_astringens,E_astringens,N
Eucalyptus badjensis,Eucalyptus_badjensis,E_badjensis,N
Eucalyptus baeuerlenii,Eucalyptus_baeuerlenii,E_baeuerlenii,S
Eucalyptus baileyana,Eucalyptus_baileyana,E_baileyana,N
Eucalyptus bakeri,Eucalyptus_bakeri,E_bakeri,S
Eucalyptus balanites,NA,NA,S
Eucalyptus balanopelex,NA,NA,Y
Eucalyptus balladoniensis subsp. sedens,Eucalyptus_balladoniensis,E_balladoniensis,Y
Eucalyptus bancroftii,Eucalyptus_bancroftii,E_bancroftii,N
Eucalyptus banksii,Eucalyptus_banksii,E_banksii,S
Eucalyptus barberi,Eucalyptus_barberi,E_barberi,S
Eucalyptus baudiniana,Eucalyptus_baudiniana,E_baudiniana,S
Eucalyptus baueriana,Eucalyptus_baueriana,E_baueriana,N
